,R_short_decode,R_medium_balanced,R_long_prefill,R_concurrent_decode,shared_prefix,tool_agent
cookbook,1.0,1.0,1.0,1.0,1.0,1.0
R_short_decode_winner,1.007981713556642,1.0113519719556112,1.1257744975092987,0.999603887723664,1.0233145055057271,1.0001061096898223
R_medium_balanced_winner,1.0035750324108372,1.0116474848854944,1.0348180418702926,1.0036243133152423,1.2439817832689921,0.9992638003977397
R_long_prefill_winner,1.001318402961214,1.0028229718249728,1.1966896949428931,1.0075399614653093,1.1887095246400075,0.9996470829372995
R_concurrent_decode_winner,1.0031074790061618,1.0011859071553557,1.155180523039144,1.007950325284119,1.1824193160215726,1.0008031621064777
shared_prefix_winner,1.0028568645883187,1.0089927385957183,0.9895319689248272,1.004375153174139,1.2552236781973731,0.9973788808593734
tool_agent_winner,1.0044450902281172,1.0014414656727588,1.1104435347175299,0.9991693547090876,1.1867080461409896,1.002367385669908
