model,fx_chains_per_layer,fx_mb_per_layer,audit_removable_pct,audit_allgaps_pct
gemma3-1b,18.5,5.21,37.06,46.32
olmo2-1b,8.5,4.83,14.71,27.74
lfm25-8b-a1b,4.0,2.92,4.06,11.31
exaone4-1.2b,9.0,2.67,3.54,15.66
qwen3-0.6b,9.5,1.92,0.46,0.57
olmoe-1b-7b,13.0,4.61,0.43,4.7
granite-3.3-2b,9.0,3.43,0.23,0.3
