model,workload,objective_role,config_id,hash,cap,chunk,policy,mem
lfm25,R_medium_balanced,constrained_throughput_best_5pct,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_medium_balanced,constrained_ttft_best,170,cap128_chunk-1_pollpm_mem0.85,128,-1,lpm,0.85
lfm25,R_medium_balanced,constrained_tpot_best,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_medium_balanced,constrained_e2e_best,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_medium_balanced,maximin_balanced_best,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_medium_balanced,geometric_balanced_best,170,cap128_chunk-1_pollpm_mem0.85,128,-1,lpm,0.85
lfm25,R_medium_balanced,strict_all_metric_candidate,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_medium_balanced,noise_tolerant_all_metric_candidate,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_medium_balanced,pareto_knee_candidate,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85
lfm25,R_short_decode,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
lfm25,R_short_decode,request_throughput_best,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,output_throughput_best,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,ttft_p95_best,21,cap8_chunk8192_polfcfs_mem0.8,8,8192,fcfs,0.8
lfm25,R_short_decode,tpot_p95_best,105,cap48_chunk2048_pollpm_mem0.8,48,2048,lpm,0.8
lfm25,R_short_decode,e2e_p95_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8
lfm25,R_short_decode,ttft_p50_best,132,cap64_chunk2048_polfcfs_mem0.75,64,2048,fcfs,0.75
lfm25,R_short_decode,tpot_p50_best,90,cap32_chunk8192_pollpm_mem0.85,32,8192,lpm,0.85
lfm25,R_short_decode,e2e_p50_best,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,constrained_throughput_best_1pct,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,constrained_throughput_best_3pct,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,constrained_throughput_best_5pct,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,constrained_ttft_best,21,cap8_chunk8192_polfcfs_mem0.8,8,8192,fcfs,0.8
lfm25,R_short_decode,constrained_tpot_best,105,cap48_chunk2048_pollpm_mem0.8,48,2048,lpm,0.8
lfm25,R_short_decode,constrained_e2e_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8
lfm25,R_short_decode,maximin_balanced_best,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8
lfm25,R_short_decode,geometric_balanced_best,21,cap8_chunk8192_polfcfs_mem0.8,8,8192,fcfs,0.8
lfm25,R_short_decode,strict_all_metric_candidate,78,cap32_chunk-1_polfcfs_mem0.85,32,-1,fcfs,0.85
lfm25,R_short_decode,noise_tolerant_all_metric_candidate,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9
lfm25,R_short_decode,pareto_knee_candidate,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8
lfm25,shared_prefix,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
lfm25,shared_prefix,request_throughput_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,output_throughput_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,ttft_p95_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,tpot_p95_best,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75
lfm25,shared_prefix,e2e_p95_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,ttft_p50_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,tpot_p50_best,22,cap8_chunk8192_polfcfs_mem0.85,8,8192,fcfs,0.85
lfm25,shared_prefix,e2e_p50_best,106,cap48_chunk2048_pollpm_mem0.85,48,2048,lpm,0.85
lfm25,shared_prefix,constrained_throughput_best_1pct,106,cap48_chunk2048_pollpm_mem0.85,48,2048,lpm,0.85
lfm25,shared_prefix,constrained_throughput_best_3pct,106,cap48_chunk2048_pollpm_mem0.85,48,2048,lpm,0.85
lfm25,shared_prefix,constrained_throughput_best_5pct,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,constrained_ttft_best,85,cap32_chunk2048_polfcfs_mem0.8,32,2048,fcfs,0.8
lfm25,shared_prefix,constrained_tpot_best,65,cap24_chunk8192_pollpm_mem0.8,24,8192,lpm,0.8
lfm25,shared_prefix,constrained_e2e_best,85,cap32_chunk2048_polfcfs_mem0.8,32,2048,fcfs,0.8
lfm25,shared_prefix,maximin_balanced_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
lfm25,shared_prefix,geometric_balanced_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,shared_prefix,strict_all_metric_candidate,106,cap48_chunk2048_pollpm_mem0.85,48,2048,lpm,0.85
lfm25,shared_prefix,noise_tolerant_all_metric_candidate,106,cap48_chunk2048_pollpm_mem0.85,48,2048,lpm,0.85
lfm25,shared_prefix,pareto_knee_candidate,179,cap128_chunk2048_pollpm_mem0.9,128,2048,lpm,0.9
lfm25,tool_agent,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
lfm25,tool_agent,request_throughput_best,105,cap48_chunk2048_pollpm_mem0.8,48,2048,lpm,0.8
lfm25,tool_agent,output_throughput_best,105,cap48_chunk2048_pollpm_mem0.8,48,2048,lpm,0.8
lfm25,tool_agent,ttft_p95_best,41,cap16_chunk8192_pollpm_mem0.8,16,8192,lpm,0.8
lfm25,tool_agent,tpot_p95_best,17,cap8_chunk8192_pollpm_mem0.8,8,8192,lpm,0.8
lfm25,tool_agent,e2e_p95_best,191,cap128_chunk8192_polfcfs_mem0.9,128,8192,fcfs,0.9
lfm25,tool_agent,ttft_p50_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75
lfm25,tool_agent,tpot_p50_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8
lfm25,tool_agent,e2e_p50_best,10,cap8_chunk2048_pollpm_mem0.85,8,2048,lpm,0.85
