model,workload,objective_role,config_id,hash,cap,chunk,policy,mem
qwen,tool_agent,tpot_p95_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8
qwen,tool_agent,e2e_p95_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,tool_agent,ttft_p50_best,155,cap96_chunk2048_pollpm_mem0.9,96,2048,lpm,0.9
qwen,tool_agent,tpot_p50_best,18,cap8_chunk8192_pollpm_mem0.85,8,8192,lpm,0.85
qwen,tool_agent,e2e_p50_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,tool_agent,constrained_throughput_best_1pct,73,cap32_chunk-1_pollpm_mem0.8,32,-1,lpm,0.8
qwen,tool_agent,constrained_throughput_best_3pct,73,cap32_chunk-1_pollpm_mem0.8,32,-1,lpm,0.8
qwen,tool_agent,constrained_throughput_best_5pct,73,cap32_chunk-1_pollpm_mem0.8,32,-1,lpm,0.8
qwen,tool_agent,constrained_ttft_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,tool_agent,constrained_tpot_best,48,cap24_chunk-1_pollpm_mem0.75,24,-1,lpm,0.75
qwen,tool_agent,constrained_e2e_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,tool_agent,maximin_balanced_best,75,cap32_chunk-1_pollpm_mem0.9,32,-1,lpm,0.9
qwen,tool_agent,geometric_balanced_best,48,cap24_chunk-1_pollpm_mem0.75,24,-1,lpm,0.75
qwen,tool_agent,strict_all_metric_candidate,75,cap32_chunk-1_pollpm_mem0.9,32,-1,lpm,0.9
qwen,tool_agent,noise_tolerant_all_metric_candidate,73,cap32_chunk-1_pollpm_mem0.8,32,-1,lpm,0.8
qwen,tool_agent,pareto_knee_candidate,48,cap24_chunk-1_pollpm_mem0.75,24,-1,lpm,0.75
