model,config_id,hash,cap,chunk,policy,mem,startup_s,attention_backend,moe_runner_backend,disable_cuda_graph,cuda_graph_captured,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,launch_cmd
qwen,60,cap24_chunk2048_polfcfs_mem0.75,24,2048,fcfs,0.75,37.0,fa3,auto,False,True,24,2048,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 24 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8,37.0,fa3,auto,False,True,32,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 32 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,97,cap48_chunk-1_pollpm_mem0.8,48,-1,lpm,0.8,37.0,fa3,auto,False,True,48,-1,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 48 --chunked-prefill-size -1 --schedule-policy lpm
qwen,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75,40.0,fa3,auto,False,True,64,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 64 --chunked-prefill-size -1 --schedule-policy lpm
qwen,155,cap96_chunk2048_pollpm_mem0.9,96,2048,lpm,0.9,40.0,fa3,auto,False,True,96,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 96 --chunked-prefill-size 2048 --schedule-policy lpm
lfm25,179,cap128_chunk2048_pollpm_mem0.9,128,2048,lpm,0.9,28.0,fa3,auto,False,True,128,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 128 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,28.0,fa3,auto,False,True,8,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs --max-prefill-tokens 16384
qwen,39,cap16_chunk2048_polfcfs_mem0.9,16,2048,fcfs,0.9,37.0,fa3,auto,False,True,16,2048,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy fcfs
lfm25,60,cap24_chunk2048_polfcfs_mem0.75,24,2048,fcfs,0.75,28.0,fa3,auto,False,True,24,2048,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 24 --chunked-prefill-size 2048 --schedule-policy fcfs --max-prefill-tokens 16384
qwen,72,cap32_chunk-1_pollpm_mem0.75,32,-1,lpm,0.75,37.0,fa3,auto,False,True,32,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 32 --chunked-prefill-size -1 --schedule-policy lpm
qwen,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9,40.0,fa3,auto,False,True,32,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 32 --chunked-prefill-size 2048 --schedule-policy lpm
lfm25,106,cap48_chunk2048_pollpm_mem0.85,48,2048,lpm,0.85,28.0,fa3,auto,False,True,48,2048,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 48 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
qwen,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9,37.0,fa3,auto,False,True,64,8192,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 64 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8,37.0,fa3,auto,False,True,128,-1,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 128 --chunked-prefill-size -1 --schedule-policy lpm
qwen,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,37.0,fa3,auto,False,True,8,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs
lfm25,41,cap16_chunk8192_pollpm_mem0.8,16,8192,lpm,0.8,28.0,fa3,auto,False,True,16,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,65,cap24_chunk8192_pollpm_mem0.8,24,8192,lpm,0.8,28.0,fa3,auto,False,True,24,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 24 --chunked-prefill-size 8192 --schedule-policy lpm --max-prefill-tokens 16384
qwen,73,cap32_chunk-1_pollpm_mem0.8,32,-1,lpm,0.8,37.0,fa3,auto,False,True,32,-1,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 32 --chunked-prefill-size -1 --schedule-policy lpm
lfm25,90,cap32_chunk8192_pollpm_mem0.85,32,8192,lpm,0.85,28.0,fa3,auto,False,True,32,8192,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 32 --chunked-prefill-size 8192 --schedule-policy lpm --max-prefill-tokens 16384
qwen,115,cap48_chunk8192_pollpm_mem0.9,48,8192,lpm,0.9,37.0,fa3,auto,False,True,48,8192,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 48 --chunked-prefill-size 8192 --schedule-policy lpm
lfm25,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75,28.0,fa3,auto,False,True,96,2048,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 96 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,170,cap128_chunk-1_pollpm_mem0.85,128,-1,lpm,0.85,28.0,fa3,auto,False,True,128,-1,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 128 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75,28.0,fa3,auto,False,True,8,2048,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,32,cap16_chunk2048_pollpm_mem0.75,16,2048,lpm,0.75,28.0,fa3,auto,False,True,16,2048,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
qwen,48,cap24_chunk-1_pollpm_mem0.75,24,-1,lpm,0.75,37.0,fa3,auto,False,True,24,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 24 --chunked-prefill-size -1 --schedule-policy lpm
qwen,71,cap24_chunk8192_polfcfs_mem0.9,24,8192,fcfs,0.9,34.0,fa3,auto,False,True,24,8192,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 24 --chunked-prefill-size 8192 --schedule-policy fcfs
lfm25,85,cap32_chunk2048_polfcfs_mem0.8,32,2048,fcfs,0.8,28.0,fa3,auto,False,True,32,2048,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 32 --chunked-prefill-size 2048 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,105,cap48_chunk2048_pollpm_mem0.8,48,2048,lpm,0.8,28.0,fa3,auto,False,True,48,2048,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 48 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
qwen,137,cap64_chunk8192_pollpm_mem0.8,64,8192,lpm,0.8,40.0,fa3,auto,False,True,64,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 64 --chunked-prefill-size 8192 --schedule-policy lpm
lfm25,168,cap128_chunk-1_pollpm_mem0.75,128,-1,lpm,0.75,28.0,fa3,auto,False,True,128,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41401 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 128 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
qwen,184,cap128_chunk8192_pollpm_mem0.75,128,8192,lpm,0.75,40.0,fa3,auto,False,True,128,8192,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 128 --chunked-prefill-size 8192 --schedule-policy lpm
lfm25,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8,28.0,fa3,auto,False,True,8,2048,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,36,cap16_chunk2048_polfcfs_mem0.75,16,2048,fcfs,0.75,28.0,fa3,auto,False,True,16,2048,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,59,cap24_chunk2048_pollpm_mem0.9,24,2048,lpm,0.9,28.0,fa3,auto,False,True,24,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 24 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,70,cap24_chunk8192_polfcfs_mem0.85,24,8192,fcfs,0.85,28.0,fa3,auto,False,True,24,8192,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 24 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9,28.0,fa3,auto,False,True,32,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 32 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
qwen,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85,37.0,fa3,auto,False,True,48,-1,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 48 --chunked-prefill-size -1 --schedule-policy fcfs
lfm25,137,cap64_chunk8192_pollpm_mem0.8,64,8192,lpm,0.8,28.0,fa3,auto,False,True,64,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 64 --chunked-prefill-size 8192 --schedule-policy lpm --max-prefill-tokens 16384
