model,workload,objective_role,config_id,hash,cap,chunk,policy,mem,request_throughput_raw,request_throughput_delta,request_throughput_ci_lo,request_throughput_ci_hi,output_throughput_raw,output_throughput_delta,output_throughput_ci_lo,output_throughput_ci_hi,ttft_p95_ms_raw,ttft_p95_ms_delta,ttft_p95_ms_ci_lo,ttft_p95_ms_ci_hi,tpot_p95_ms_raw,tpot_p95_ms_delta,tpot_p95_ms_ci_lo,tpot_p95_ms_ci_hi,e2e_p95_ms_raw,e2e_p95_ms_delta,e2e_p95_ms_ci_lo,e2e_p95_ms_ci_hi,classification,repeat_count
lfm25,R_concurrent_decode,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,21.98955177756656,0.0,-0.004640673447338963,0.004680974179137717,5629.32525505704,0.0,-0.004576355742929017,0.004622716629599443,136.5026107802987,0.0,-0.08013044936898796,0.07285193971260207,5.135910708110268,0.0,-0.003807954212730952,0.0036915637253612183,1441.4699131716043,0.0,-0.005270356321668374,0.005124313526555215,FLAT,5
lfm25,R_concurrent_decode,request_throughput_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,22.31813879464081,0.014942870159339483,0.011008866579364696,0.019326152675093793,5713.443531428047,0.014942870159339483,0.010953417706026054,0.01940651577017587,131.79393320344388,0.0344951466491249,-0.017816628394813575,0.09474954067877596,5.080590880183759,0.010771181796278562,0.0068224185710274885,0.014599206775939226,1422.1366866817698,0.01341216095679476,0.009416584985718051,0.018059946407932813,STRICT_ALL_METRIC_WIN,5
lfm25,R_concurrent_decode,ttft_p95_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8,22.08700272776948,0.004431693341850451,-0.001706660858790537,0.01051268288453217,5654.272698308986,0.004431693341850451,-0.0018018942038482866,0.010453640935263797,134.64164861477911,0.013633161702048424,-0.05858654612439786,0.0835300746868481,5.119821823603821,0.003132625433117653,0.0004055832573567314,0.006017994638095164,1438.556280694902,0.0020212926056094593,-0.004403010335166674,0.008304935147771975,WIN,5
lfm25,R_concurrent_decode,tpot_p95_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,7.887677799823616,-0.6412988368471195,-0.6425648141766902,-0.6398527615863568,2019.2455167548462,-0.6412988368471194,-0.6425777268012862,-0.6398612767757873,3045.5195981031284,-21.311072152348057,-22.306226127359857,-20.093846077716275,3.8875986076526194,0.24305564707081107,0.24112985254034475,0.2451110452652009,4036.790881161578,-1.8004683582188687,-1.8093248378994853,-1.7887003348356585,TRADE-OFF,5
lfm25,R_concurrent_decode,e2e_p95_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,22.31813879464081,0.014942870159339483,0.01107276570273496,0.019277347899426533,5713.443531428047,0.014942870159339483,0.011032851862657718,0.0192837466598191,131.79393320344388,0.0344951466491249,-0.017597370076701927,0.09274495139353624,5.080590880183759,0.010771181796278562,0.00670641275661075,0.01465465914730368,1422.1366866817698,0.01341216095679476,0.009425746960029008,0.01806776666352758,STRICT_ALL_METRIC_WIN,5
lfm25,R_concurrent_decode,constrained_throughput_best_3pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,22.31813879464081,0.014942870159339483,0.011024285414678875,0.019382350799389138,5713.443531428047,0.014942870159339483,0.010967883109818305,0.019461809767658194,131.79393320344388,0.0344951466491249,-0.019117260678321094,0.09217935166509476,5.080590880183759,0.010771181796278562,0.006859642492004925,0.014626204874660436,1422.1366866817698,0.01341216095679476,0.00933682629572695,0.018056112382863088,STRICT_ALL_METRIC_WIN,5
lfm25,R_concurrent_decode,maximin_balanced_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,22.31813879464081,0.014942870159339483,0.011041130257879894,0.01936600451391532,5713.443531428047,0.014942870159339483,0.011129361915904745,0.019380293065339442,131.79393320344388,0.0344951466491249,-0.01885553388539326,0.09284338920141111,5.080590880183759,0.010771181796278562,0.006862977178111418,0.014710530066678995,1422.1366866817698,0.01341216095679476,0.009375228471213304,0.018156306265011524,STRICT_ALL_METRIC_WIN,5
lfm25,R_concurrent_decode,pareto_knee_candidate,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,22.31813879464081,0.014942870159339483,0.01113985017285989,0.019382342764724465,5713.443531428047,0.014942870159339483,0.010957228278991977,0.01932033482203685,131.79393320344388,0.0344951466491249,-0.01781597074999408,0.09255951913784584,5.080590880183759,0.010771181796278562,0.0068163579086262475,0.014656229892342106,1422.1366866817698,0.01341216095679476,0.009355882584089814,0.018056127648183436,STRICT_ALL_METRIC_WIN,5
lfm25,R_concurrent_decode,strict_all_metric_candidate,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,22.31813879464081,0.014942870159339483,0.010969504346930248,0.019432255885531057,5713.443531428047,0.014942870159339483,0.011104600515579932,0.019225334077574586,131.79393320344388,0.0344951466491249,-0.01799926272834542,0.09220415848568085,5.080590880183759,0.010771181796278562,0.006768439628244471,0.014652498480699194,1422.1366866817698,0.01341216095679476,0.00937505550029688,0.01794518634241725,STRICT_ALL_METRIC_WIN,5
lfm25,R_long_prefill,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,12.604484843853099,0.0,-0.035684849058899994,0.034444511317210866,403.3435150032992,0.0,-0.033258557535016164,0.03361582813590691,208.50754480808973,0.0,-0.05069000371136308,0.048143597903267166,3.5571069473160373,0.0,-0.159935417557951,0.13698372093770564,308.3048473810777,0.0,-0.03542440316501358,0.03422297438907938,FLAT,5
