model,workload,objective_role,config_id,hash,cap,chunk,policy,mem,repeat_count,baseline_reps,request_throughput_raw,request_throughput_base,request_throughput_delta,request_throughput_ci_lo,request_throughput_ci_hi,output_throughput_raw,output_throughput_base,output_throughput_delta,output_throughput_ci_lo,output_throughput_ci_hi,ttft_p95_ms_raw,ttft_p95_ms_base,ttft_p95_ms_delta,ttft_p95_ms_ci_lo,ttft_p95_ms_ci_hi,tpot_p95_ms_raw,tpot_p95_ms_base,tpot_p95_ms_delta,tpot_p95_ms_ci_lo,tpot_p95_ms_ci_hi,e2e_p95_ms_raw,e2e_p95_ms_base,e2e_p95_ms_delta,e2e_p95_ms_ci_lo,e2e_p95_ms_ci_hi,metrics_significantly_better,metrics_significantly_worse,classification
lfm25,R_concurrent_decode,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,5,5,21.98955177756656,21.98955177756656,0.0,-0.004640673447338963,0.004680974179137717,5629.32525505704,5629.32525505704,0.0,-0.004576355742929017,0.004622716629599443,136.5026107802987,136.5026107802987,0.0,-0.08013044936898796,0.07285193971260207,5.135910708110268,5.135910708110268,0.0,-0.003807954212730952,0.0036915637253612183,1441.4699131716043,1441.4699131716043,0.0,-0.005270356321668374,0.005124313526555215,,,FLAT
lfm25,R_concurrent_decode,request_throughput_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011008866579364696,0.019326152675093793,5713.443531428047,5629.32525505704,0.014942870159339483,0.010953417706026054,0.01940651577017587,131.79393320344388,136.5026107802987,0.0344951466491249,-0.017816628394813575,0.09474954067877596,5.080590880183759,5.135910708110268,0.010771181796278562,0.0068224185710274885,0.014599206775939226,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009416584985718051,0.018059946407932813,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,output_throughput_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.010951157853312132,0.019338397386755402,5713.443531428047,5629.32525505704,0.014942870159339483,0.011150345400020073,0.019292400341806674,131.79393320344388,136.5026107802987,0.0344951466491249,-0.018192332137707566,0.09310960306411575,5.080590880183759,5.135910708110268,0.010771181796278562,0.006804729961958245,0.01473594492234954,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.0094061832729363,0.018185546319457457,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,ttft_p95_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8,5,5,22.08700272776948,21.98955177756656,0.004431693341850451,-0.001706660858790537,0.01051268288453217,5654.272698308986,5629.32525505704,0.004431693341850451,-0.0018018942038482866,0.010453640935263797,134.64164861477911,136.5026107802987,0.013633161702048424,-0.05858654612439786,0.0835300746868481,5.119821823603821,5.135910708110268,0.003132625433117653,0.0004055832573567314,0.006017994638095164,1438.556280694902,1441.4699131716043,0.0020212926056094593,-0.004403010335166674,0.008304935147771975,tpot_p95_ms,,WIN
lfm25,R_concurrent_decode,tpot_p95_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,5,5,7.887677799823616,21.98955177756656,-0.6412988368471195,-0.6425648141766902,-0.6398527615863568,2019.2455167548462,5629.32525505704,-0.6412988368471194,-0.6425777268012862,-0.6398612767757873,3045.5195981031284,136.5026107802987,-21.311072152348057,-22.306226127359857,-20.093846077716275,3.8875986076526194,5.135910708110268,0.24305564707081107,0.24112985254034475,0.2451110452652009,4036.790881161578,1441.4699131716043,-1.8004683582188687,-1.8093248378994853,-1.7887003348356585,tpot_p95_ms,request_throughput;output_throughput;ttft_p95_ms;e2e_p95_ms,TRADE-OFF
lfm25,R_concurrent_decode,e2e_p95_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.01107276570273496,0.019277347899426533,5713.443531428047,5629.32525505704,0.014942870159339483,0.011032851862657718,0.0192837466598191,131.79393320344388,136.5026107802987,0.0344951466491249,-0.017597370076701927,0.09274495139353624,5.080590880183759,5.135910708110268,0.010771181796278562,0.00670641275661075,0.01465465914730368,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009425746960029008,0.01806776666352758,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,ttft_p50_best,70,cap24_chunk8192_polfcfs_mem0.85,24,8192,fcfs,0.85,5,5,13.571094572706675,21.98955177756656,-0.38283896325018685,-0.38620764770040866,-0.3798179385155182,3474.200210612909,5629.32525505704,-0.38283896325018685,-0.3862305296837547,-0.3798139036356082,1353.0398234678432,136.5026107802987,-8.912190072654099,-9.361755352746016,-8.352178631222884,4.777936316478778,5.135910708110268,0.06970027556479952,0.06331733720568368,0.07464312014562466,2345.5640005366877,1441.4699131716043,-0.6272028844333242,-0.6363172041368041,-0.6181325568601208,tpot_p95_ms,request_throughput;output_throughput;ttft_p95_ms;e2e_p95_ms,TRADE-OFF
lfm25,R_concurrent_decode,tpot_p50_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,5,5,7.887677799823616,21.98955177756656,-0.6412988368471195,-0.6425487394702104,-0.6398925761295214,2019.2455167548462,5629.32525505704,-0.6412988368471194,-0.6425676419675942,-0.6398983916335864,3045.5195981031284,136.5026107802987,-21.311072152348057,-22.299136292364842,-20.069986748208525,3.8875986076526194,5.135910708110268,0.24305564707081107,0.24111431314325724,0.24513559628258552,4036.790881161578,1441.4699131716043,-1.8004683582188687,-1.809312468125661,-1.788700493142707,tpot_p95_ms,request_throughput;output_throughput;ttft_p95_ms;e2e_p95_ms,TRADE-OFF
lfm25,R_concurrent_decode,e2e_p50_best,66,cap24_chunk8192_pollpm_mem0.85,24,8192,lpm,0.85,5,5,13.632003940188946,21.98955177756656,-0.3800690401476883,-0.38461544384529955,-0.37589340201318544,3489.7930086883694,5629.32525505704,-0.3800690401476884,-0.38455107435967406,-0.3759275329874779,1358.9115514047444,136.5026107802987,-8.955205571796101,-9.407389141465162,-8.38046035962994,4.742208324884083,5.135910708110268,0.07665678116336372,0.07257846588896712,0.08121551363926838,2327.021806491539,1441.4699131716043,-0.6143394913956219,-0.6266188735641262,-0.6036102169104932,tpot_p95_ms,request_throughput;output_throughput;ttft_p95_ms;e2e_p95_ms,TRADE-OFF
lfm25,R_concurrent_decode,constrained_throughput_best_1pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011112352544716491,0.019407782565046272,5713.443531428047,5629.32525505704,0.014942870159339483,0.0111166322962731,0.019348208744934446,131.79393320344388,136.5026107802987,0.0344951466491249,-0.01807270020076901,0.09296823551886789,5.080590880183759,5.135910708110268,0.010771181796278562,0.006868921044221763,0.01457067851637312,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009413207191335815,0.017971351840513072,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,constrained_throughput_best_3pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011024285414678875,0.019382350799389138,5713.443531428047,5629.32525505704,0.014942870159339483,0.010967883109818305,0.019461809767658194,131.79393320344388,136.5026107802987,0.0344951466491249,-0.019117260678321094,0.09217935166509476,5.080590880183759,5.135910708110268,0.010771181796278562,0.006859642492004925,0.014626204874660436,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.00933682629572695,0.018056112382863088,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,constrained_throughput_best_5pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011024535811972708,0.019395720205542644,5713.443531428047,5629.32525505704,0.014942870159339483,0.011024441290153768,0.01935392208302545,131.79393320344388,136.5026107802987,0.0344951466491249,-0.018846113208909786,0.09379228242374253,5.080590880183759,5.135910708110268,0.010771181796278562,0.006939499655111758,0.014562387838487473,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009419301209989062,0.01801941206941702,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,constrained_ttft_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8,5,5,22.08700272776948,21.98955177756656,0.004431693341850451,-0.0017583170646304185,0.010522027360750853,5654.272698308986,5629.32525505704,0.004431693341850451,-0.0018220509203578149,0.010411902614901969,134.64164861477911,136.5026107802987,0.013633161702048424,-0.059973022517638926,0.08481204946895993,5.119821823603821,5.135910708110268,0.003132625433117653,0.0004481055177221194,0.0059764729419014145,1438.556280694902,1441.4699131716043,0.0020212926056094593,-0.004293649964791873,0.00843215054312804,tpot_p95_ms,,WIN
lfm25,R_concurrent_decode,constrained_tpot_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011110121813045604,0.019382164856830673,5713.443531428047,5629.32525505704,0.014942870159339483,0.011089501051672179,0.019340238010252267,131.79393320344388,136.5026107802987,0.0344951466491249,-0.018626658797659228,0.09389663698638662,5.080590880183759,5.135910708110268,0.010771181796278562,0.00684804080848204,0.014609723233970447,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009340146045631492,0.01801412351652334,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,constrained_e2e_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011079422941294432,0.019353970287200473,5713.443531428047,5629.32525505704,0.014942870159339483,0.010951106021064921,0.01936605063809859,131.79393320344388,136.5026107802987,0.0344951466491249,-0.017646583135119583,0.09243104902034036,5.080590880183759,5.135910708110268,0.010771181796278562,0.006798639220468972,0.014629169019815706,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009262365873674521,0.01801941206941702,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,maximin_balanced_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011041130257879894,0.01936600451391532,5713.443531428047,5629.32525505704,0.014942870159339483,0.011129361915904745,0.019380293065339442,131.79393320344388,136.5026107802987,0.0344951466491249,-0.01885553388539326,0.09284338920141111,5.080590880183759,5.135910708110268,0.010771181796278562,0.006862977178111418,0.014710530066678995,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009375228471213304,0.018156306265011524,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,geometric_balanced_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8,5,5,22.08700272776948,21.98955177756656,0.004431693341850451,-0.001861881576831989,0.010439368897104123,5654.272698308986,5629.32525505704,0.004431693341850451,-0.001773255946318275,0.010434304624540385,134.64164861477911,136.5026107802987,0.013633161702048424,-0.05946176368224628,0.08394562379897792,5.119821823603821,5.135910708110268,0.003132625433117653,0.00045366571326625207,0.006033975163605628,1438.556280694902,1441.4699131716043,0.0020212926056094593,-0.004470434160324759,0.008229869400252417,tpot_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,strict_all_metric_candidate,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.010969504346930248,0.019432255885531057,5713.443531428047,5629.32525505704,0.014942870159339483,0.011104600515579932,0.019225334077574586,131.79393320344388,136.5026107802987,0.0344951466491249,-0.01799926272834542,0.09220415848568085,5.080590880183759,5.135910708110268,0.010771181796278562,0.006768439628244471,0.014652498480699194,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.00937505550029688,0.01794518634241725,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
lfm25,R_concurrent_decode,noise_tolerant_all_metric_candidate,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,5,5,22.31813879464081,21.98955177756656,0.014942870159339483,0.011047817504902064,0.01943797767294705,5713.443531428047,5629.32525505704,0.014942870159339483,0.011045142355921994,0.019283222053282145,131.79393320344388,136.5026107802987,0.0344951466491249,-0.018230861333657013,0.09248627458232021,5.080590880183759,5.135910708110268,0.010771181796278562,0.006744348763406569,0.014605852983216372,1422.1366866817698,1441.4699131716043,0.01341216095679476,0.009301273142328129,0.018017801008959902,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
