completed_index,optuna_trial_number,request_throughput,output_token_throughput,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,e2e_p50,e2e_p95,e2e_p99,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,moe_runner_backend,attention_backend,disable_cuda_graph,server_startup_s,benchmark_wall_s,config_hash,result_path
65,78,12.34378498919155,3160.0089572330367,127.909,1505.408,1505.51,5.253,5.258,5.297,1468.044,2577.979,2578.284,24,8192,fcfs,0.9,triton,fa3,False,25.0,2.5923977149650455,83b16173022c7272,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0065/bench_serving.jsonl
66,79,19.467621495048427,4983.711102732397,165.747,194.37,194.537,5.752,6.021,6.121,1632.677,1635.198,1635.688,96,2048,fcfs,0.9,triton,fa3,False,25.0,1.6437549912370741,59d45e33cb707598,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0066/bench_serving.jsonl
67,80,19.467247821998807,4983.615442431695,166.771,194.804,194.958,5.75,6.02,6.108,1633.237,1635.07,1635.446,48,2048,lpm,0.9,triton,fa3,False,25.0,1.6437865430489182,19842cb3143cf3f0,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0067/bench_serving.jsonl
68,81,19.749537741837507,5055.881661910402,162.418,172.74,172.897,5.67,5.673,5.805,1607.485,1610.292,1610.683,128,8192,fcfs,0.85,triton,fa3,False,28.0,1.6202910882420838,d1120ac0b06b137f,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0068/bench_serving.jsonl
69,82,19.772366377171593,5061.725792555928,161.472,163.809,163.93,5.665,5.671,5.778,1606.251,1607.901,1609.021,32,8192,fcfs,0.75,triton,fa3,False,25.0,1.618420344311744,e1d14c77f61f3250,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0069/bench_serving.jsonl
70,83,19.788432823268973,5065.838802756857,159.452,163.748,163.946,5.67,5.677,5.799,1605.376,1607.473,1608.169,48,8192,fcfs,0.8,triton,fa3,False,25.0,1.6171063310466707,2f89f06d4325ed64,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0070/bench_serving.jsonl
71,85,7.1826950967847,1838.7699447768832,1743.734,3373.267,3373.385,4.16,4.203,4.229,2787.265,4444.991,4445.059,8,8192,fcfs,0.8,triton,fa3,False,25.0,4.455152219161391,a2f8d8593b8513da,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0071/bench_serving.jsonl
72,86,19.453815773758187,4980.176838082096,161.92,191.028,191.091,5.762,6.028,6.119,1632.521,1634.436,1634.749,96,2048,fcfs,0.8,triton,fa3,False,28.0,1.6449215090833604,ebcd263879fdf482,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0072/bench_serving.jsonl
73,87,19.447040429319664,4978.442349905834,186.166,187.883,188.345,5.67,5.672,5.79,1631.684,1634.02,1634.462,96,8192,lpm,0.8,triton,fa3,False,25.0,1.6454945993609726,cbb4044d1c372255,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0073/bench_serving.jsonl
74,88,12.195416988162927,3122.0267489697094,752.46,1395.986,1396.149,4.765,4.771,4.787,1965.101,2612.233,2612.684,16,8192,fcfs,0.9,triton,fa3,False,25.0,2.6239365190267563,1d5bb09a0f456e4a,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0074/bench_serving.jsonl
75,89,19.761212914480247,5058.870506106943,161.823,165.6,165.696,5.666,5.672,5.793,1606.682,1608.635,1609.662,48,8192,lpm,0.8,triton,fa3,False,25.0,1.6193337999284267,e0b0a2fe9d7668cb,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0075/bench_serving.jsonl
76,91,19.758319932548055,5058.129902732302,162.304,163.877,164.003,5.664,5.668,5.784,1606.268,1608.702,1608.908,48,8192,fcfs,0.85,triton,fa3,False,25.0,1.619570900220424,c50809df1f7738a2,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0076/bench_serving.jsonl
77,92,19.466803284629496,4983.501640865151,184.279,186.062,186.358,5.67,5.673,5.787,1630.109,1632.253,1633.457,48,8192,fcfs,0.9,triton,fa3,False,25.0,1.6438240800052881,939e2085c20d78c9,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0077/bench_serving.jsonl
78,94,19.763150218664975,5059.366455978234,156.45,161.517,161.745,5.674,5.679,5.804,1602.542,1605.05,1605.594,32,-1,fcfs,0.85,triton,fa3,False,25.0,1.6191750629805028,5ccf93fc9e0d8218,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0078/bench_serving.jsonl
79,95,19.697647921781453,5042.597867976052,166.423,171.344,171.486,5.673,5.677,5.806,1612.377,1615.25,1615.856,32,-1,lpm,0.9,triton,fa3,False,25.0,1.6245594462379813,988d81c28a9a6652,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0079/bench_serving.jsonl
