model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_concurrent_decode,7.835472841598744,2005.8810474492784,3572.975615769027,1567.0945683197488,1527.2044360172004,3083.856337494217,3084.070125655271,1552.454788092291,3.896888755444511,3.938405888392499,3.810291247974223,2529.079888481647,4072.055055946112,4072.396729164757,2524.079056325718,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_long_prefill,12.781933628055818,409.02187609778616,51536.75638832106,51127.73451222327,204.09748889505863,204.53357177320868,204.5786888198927,203.55613576248288,3.204972610899037,3.307354931659516,3.232766243238603,303.63962752744555,304.4401556951925,304.5057345321402,303.7718893028796,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_medium_balanced,6.877166302589492,1760.55457346291,7262.287615534504,5501.733042071594,106.46614897996189,108.91636076848954,109.06310637947172,106.65704956045374,4.12665589292552,4.275886694371116,4.119503581850771,1157.3268710635602,1195.2589388238266,1195.7549365470186,1157.1304629324004,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_short_decode,1.6764746425812402,429.1775085007975,596.8249727589215,167.64746425812402,26.68198151513934,28.58074894174933,28.95561931654811,26.59363078419119,2.2304307057650066,2.2332799314576324,2.2301411295610327,595.0082733761519,597.4813717417419,597.7801430784166,595.0003508478403,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,shared_prefix,6.542764091695977,1674.94760747417,17043.59376680122,15368.64615932705,5326.376835349947,16903.44091579317,18263.293015859093,6650.658055965323,3.906616493694338,4.289943392151127,3.911922148773572,6262.607551412657,17914.958944311355,19231.697240304205,7648.139741766499,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,tool_agent,5.229001808620175,1084.0505099540917,15027.445282730218,13943.394772776126,235.79495516605675,1061.8646713905032,1747.8464590711512,333.64005198469386,3.5567912950245058,10.765990075931224,5.071228860070627,515.9562120679766,2386.326989252117,3627.715872977859,970.2075333334506,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_concurrent_decode,7.852463033936556,2010.2305366877583,3580.7231434750697,1570.4926067873112,1519.5747474208474,3075.0802603783086,3075.200975728221,1545.6557534780586,3.896395296004473,3.9217554694772057,3.8015170894818855,2519.3972282577306,4062.8550477791578,4062.9631597781554,2515.0426112959394,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_long_prefill,12.827507757214388,410.4802482308604,51720.511277088415,51310.03102885755,203.79623514600095,204.1573876515031,204.1880864277482,203.13849905505776,3.1936588667092782,3.295875551749862,3.2211131709177163,302.9212602414191,303.4140328876674,303.4776555560529,302.993007353507,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_medium_balanced,7.066833263689292,1809.109315504459,7462.575926455892,5653.466610951433,90.31525789760052,95.80494672991335,95.96303110010922,91.82549850083888,4.0630349095034255,4.13718087845208,4.055554770029096,1126.1706529185176,1143.5839930782097,1143.785558012314,1125.991964858258,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_short_decode,1.6788013213977475,429.7731382778234,597.6532704175983,167.8801321397748,24.724459508433934,25.91543011367321,25.995929390192032,24.532567185815424,2.234401766612541,2.237335338800561,2.234510145016509,594.1744120791554,595.6748925382271,595.7853528903797,594.0529349027202,1,
