model,workload,cookbook_config_id,cookbook_hash,cookbook_request_throughput,cookbook_output_throughput,cookbook_ttft_p50_ms,cookbook_ttft_p95_ms,cookbook_tpot_p50_ms,cookbook_tpot_p95_ms,cookbook_e2e_p50_ms,cookbook_e2e_p95_ms,best_throughput_config_id,best_throughput_hash,best_throughput_knobs,d_request_throughput,d_output_throughput,d_ttft_p50,d_ttft_p95,d_tpot_p50,d_tpot_p95,d_e2e_p50,d_e2e_p95,best_output_config_id,lowest_ttft_p95_config_id,lowest_tpot_p95_config_id,lowest_e2e_p95_config_id,balanced_config_id,n_configs_evaluated,n_pareto,n_pareto_full,classification,worst_request_throughput,median_request_throughput,worst_vs_cookbook,median_vs_cookbook,pct_configs_improve_throughput,pct_configs_improve_ttft_p95,pct_configs_improve_all,pct_dominated_by_cookbook,repeat_count
qwen,R_short_decode,74,cap32_chunk-1_pollpm_mem0.85,0.8431884891291875,215.856253217072,45.66645668819547,330.53858946077503,4.250385956473503,4.259525393866294,1129.8686098307371,1413.3928216295317,148,cap96_chunk-1_polfcfs_mem0.75,"cap=96,chunk=-1,policy=fcfs,mem=0.75",0.053046372023035415,0.05304637202303519,0.016673124942559014,0.8553181566846099,0.0037247546051605296,0.003505151821779129,0.003299805511792875,0.20225487046869828,148,191,110,148,148,192,2,7,WIN,0.834559590506724,0.8826916637757023,-0.010233653250384278,0.04684975560720961,0.9895833333333334,0.9895833333333334,0.7916666666666666,0.010416666666666666,1
qwen,R_medium_balanced,74,cap32_chunk-1_pollpm_mem0.85,4.610347349620965,1180.248921502967,121.62651307880878,123.5258165979758,6.3742149137325725,6.70292023888917,1730.0366840790955,1822.912834235467,4,cap8_chunk-1_polfcfs_mem0.75,"cap=8,chunk=-1,policy=fcfs,mem=0.75",0.00664387834779423,0.00664387834779423,0.17443474151332383,0.014808660490621461,0.00025882009973388076,0.004317811357564594,0.006534813854129462,0.0133758655619165,4,4,89,4,4,192,1,8,FLAT,3.476536780946164,4.539722603307961,-0.24592736353542122,-0.01531874736484018,0.14583333333333334,0.020833333333333332,0.020833333333333332,0.6979166666666666,1
qwen,R_long_prefill,74,cap32_chunk-1_pollpm_mem0.85,9.214852048647078,294.8752655567065,235.9405446331948,236.21323669794947,6.114586278976452,10.11625478765176,425.70169852115214,425.9911644505337,145,cap96_chunk-1_pollpm_mem0.8,"cap=96,chunk=-1,policy=lpm,mem=0.8",0.0048058792810499185,0.0048058792810499185,0.013167813528619843,0.013164676908540951,-0.002994995613615492,0.024103314936190223,0.006054424704402428,0.006117008888081421,145,145,24,145,145,192,1,2,FLAT,2.53926103526346,8.095530199103823,-0.7244382197502266,-0.12146932404710642,0.010416666666666666,0.020833333333333332,0.005208333333333333,0.9791666666666666,1
qwen,R_concurrent_decode,74,cap32_chunk-1_pollpm_mem0.85,12.072114734659635,3090.4613720728667,142.70456437952816,144.6770093170926,9.789653255732036,9.797527462622416,2639.207829721272,2641.360785323195,126,cap64_chunk-1_polfcfs_mem0.85,"cap=64,chunk=-1,policy=fcfs,mem=0.85",0.01048238149522196,0.01048238149522196,0.1738742688856041,0.17368048533434055,0.0008219092048726839,0.000672223018904905,0.010244862162372192,0.010384973599490865,126,145,21,126,126,192,2,23,WIN,3.5511924960890675,11.787150002787161,-0.7058350940044151,-0.023605204070362817,0.234375,0.2604166666666667,0.07291666666666667,0.7395833333333334,1
qwen,shared_prefix,74,cap32_chunk-1_pollpm_mem0.85,13.738592315824404,3517.079632851048,2239.936211844906,3115.591298416257,7.8084023099166044,9.87542039614317,4224.725986132398,5035.883310483769,159,cap96_chunk2048_polfcfs_mem0.9,"cap=96,chunk=2048,policy=fcfs,mem=0.9",0.27739601652046453,0.2773960165204643,0.8022538830039629,0.796333616187395,-0.5755023105887467,-0.31677719409078087,0.14435251941516813,0.2537231496717135,159,133,17,133,159,192,3,34,TRADE-OFF,4.917803043090579,13.99186015943609,-0.6420446192710625,0.01843477394113857,0.5833333333333334,0.4322916666666667,0.052083333333333336,0.4114583333333333,1
qwen,tool_agent,74,cap32_chunk-1_pollpm_mem0.85,4.774956467834571,989.920100129124,370.6951080821455,1924.5026379358023,12.207291554659603,84.80413393117487,1453.6463906988502,8375.071329763157,67,cap24_chunk8192_pollpm_mem0.9,"cap=24,chunk=8192,policy=lpm,mem=0.9",0.016494679879142993,0.016494679879143215,0.38754456795027026,0.6858152380100382,-0.04658866718044452,-0.162501466260496,0.524515111590228,0.18211413010001898,67,89,4,75,67,192,6,34,TRADE-OFF,3.694274352031396,4.831087838496989,-0.22632292526286857,0.011755368041684866,0.8697916666666666,0.84375,0.3333333333333333,0.13020833333333334,1
