run,index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
prefill_b4x4000_nograph,125,10613.087,3.2,-0.032,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
prefill_b4x4000_nograph,126,10616.255,607.49,4.8,2,attn_kernel,attention,device_kernel,132,512,
prefill_b4x4000_nograph,127,11228.545,174.625,-0.16,2,attn_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
prefill_b4x4000_nograph,128,11403.01,61.568,1.152,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
prefill_b4x4000_nograph,129,11465.73,21.696,1.952,2,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
prefill_b4x4000_nograph,130,11489.378,3.2,0.96,2,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
prefill_b4x4000_nograph,131,11493.538,14.528,0.896,2,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
prefill_b4x4000_nograph,132,11508.962,20.896,0.96,2,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
prefill_b4x4000_nograph,133,11530.818,3179.53,1.952,2,moe_up,fused_moe,fused_moe_kernel,57848,128,
prefill_b4x4000_nograph,134,14712.3,154.24,2.304,2,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
prefill_b4x4000_nograph,135,14868.844,1603.077,1.184,2,moe_down,fused_moe,fused_moe_kernel,33056,128,
prefill_b4x4000_nograph,136,16473.105,76.096,-0.128,2,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
prefill_b4x4000_graph,117,9327.324,61.184,4.224,2,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
prefill_b4x4000_graph,118,9392.732,259.905,1.088,2,attn_qkv_proj,gemm,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,2,384,
prefill_b4x4000_graph,119,9653.725,77.216,-0.128,2,attn_q_layout_copy,copy_bf16,elementwise_kernel,64000,128,
prefill_b4x4000_graph,120,9730.813,617.794,2.24,2,attn_q_norm,rmsnorm,RMSNormKernel,512000,32,
