index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
500,153617.676,61.92,1.248,23,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
501,153680.844,20.256,1.184,23,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
502,153702.284,3.392,1.152,23,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
503,153706.828,15.904,1.088,23,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
504,153723.82,29.889,1.024,23,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
505,153754.733,3190.953,1.344,23,moe_up,fused_moe,fused_moe_kernel,57848,128,
506,156947.03,154.081,1.312,23,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
507,157102.423,1607.652,2.336,23,moe_down,fused_moe,fused_moe_kernel,33056,128,
508,158712.411,74.817,0.192,23,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
509,158787.42,64.416,1.408,24,final_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
510,158853.244,1.376,1.056,24,logits_prep,copy,unrolled_elementwise_kernel,1,128,
511,158855.676,0.768,2.016,24,logits_prep,other,DeviceScanInitKernel,1,128,
512,158858.46,1.44,0.992,24,logits_prep,other,DeviceScanKernel,1,128,
513,158860.892,1.152,1.056,24,logits_prep,other,vectorized_elementwise_kernel,1,128,
514,158863.1,1.696,5.248,24,logits_prep,other,vectorized_gather_kernel,4,256,
515,158870.044,134.688,2.176,24,lm_head,gemm,nvjet_tst_256x8_64x6_2x1_v_bz_TNT,2,384,
516,159006.908,4.16,1.152,,,copy,unrolled_elementwise_kernel,1000,128,
517,159012.22,1.056,1.184,,,other,vectorized_elementwise_kernel,1,128,
518,159014.46,29.888,,,,argmax,reduce_kernel,4,128,
