index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
516,119958.727,15.616,2.08,kernel,moe_align,0,415
517,119976.423,25.984,1.024,kernel,moe_count_sort,0,416
518,120003.431,3176.938,1.248,kernel,fused_moe,0,417
519,123181.617,156.192,1.088,kernel,act_and_mul,0,418
520,123338.897,1599.653,2.336,kernel,fused_moe,0,419
521,124940.886,74.752,0.128,kernel,moe_sum,0,420
522,125015.766,64.225,1.728,kernel,fused_add_rmsnorm,0,421
523,125081.719,0.768,1.6,memset,memset,4,
524,125084.087,533.633,1.152,kernel,gemm,0,422
525,125618.872,93.504,2.272,kernel,mul,0,423
526,125714.648,221.729,2.08,kernel,copy_bf16,0,424
527,125938.457,1.056,1.856,memcpy,memcpy_kind_8,16,
528,125941.369,0.736,297.665,memcpy,memcpy_kind_1,4,
529,126239.77,1.12,50.432,kernel,copy_int,0,425
530,126291.322,62.464,1.024,kernel,conv_fwd,0,426
531,126354.81,227.297,1.728,kernel,mul,0,427
532,126583.835,0.768,1.6,memset,memset,4,
533,126586.203,184.737,-0.128,kernel,gemm,0,428
534,126770.812,61.472,1.344,kernel,fused_add_rmsnorm,0,429
535,126833.628,20.928,1.056,kernel,gemm,0,430
536,126855.612,3.456,1.12,kernel,topk_sigmoid,0,431
537,126860.188,15.808,1.152,kernel,moe_align,0,432
538,126877.148,24.96,0.96,kernel,moe_count_sort,0,433
539,126903.068,3195.114,1.12,kernel,fused_moe,0,434
540,130099.302,155.488,1.12,kernel,act_and_mul,0,435
541,130255.91,1604.677,1.184,kernel,fused_moe,0,436
542,131861.771,75.168,0.192,kernel,moe_sum,0,437
543,131937.131,63.424,1.664,kernel,fused_add_rmsnorm,0,438
544,132002.219,0.8,1.6,memset,memset,4,
545,132004.619,534.722,1.152,kernel,gemm,0,439
546,132540.493,93.824,1.408,kernel,mul,0,440
547,132635.725,221.249,1.088,kernel,copy_bf16,0,441
548,132858.062,1.248,1.696,memcpy,memcpy_kind_8,16,
549,132861.006,0.768,35.36,memcpy,memcpy_kind_1,4,
550,132897.134,1.12,23.52,kernel,copy_int,0,442
551,132921.774,62.304,1.28,kernel,conv_fwd,0,443
552,132985.358,226.721,1.728,kernel,mul,0,444
553,133213.807,0.768,1.632,memset,memset,4,
554,133216.207,185.665,-0.192,kernel,gemm,0,445
555,133401.68,63.072,1.248,kernel,fused_add_rmsnorm,0,446
556,133466.0,20.416,1.056,kernel,gemm,0,447
557,133487.472,3.328,1.056,kernel,topk_sigmoid,0,448
558,133491.856,15.648,1.12,kernel,moe_align,0,449
559,133508.624,25.312,0.96,kernel,moe_count_sort,0,450
560,133534.896,3186.409,1.184,kernel,fused_moe,0,451
561,136722.489,154.881,1.216,kernel,act_and_mul,0,452
562,136878.586,1608.453,1.248,kernel,fused_moe,0,453
563,138488.287,75.808,-0.128,kernel,moe_sum,0,454
564,138563.967,62.368,1.568,kernel,fused_add_rmsnorm,0,455
565,138627.903,0.8,2.08,memset,memset,4,
566,138630.783,273.057,1.088,kernel,gemm,0,456
567,138904.928,80.288,-0.128,kernel,copy_bf16,0,457
568,138985.088,618.53,2.176,kernel,rmsnorm,0,458
569,139605.794,22.208,-0.128,kernel,copy_bf16,0,459
570,139627.874,156.225,1.184,kernel,rmsnorm,0,460
571,139785.283,56.896,-0.128,kernel,rope,0,461
572,139842.051,17.536,2.112,kernel,store_kv,0,462
573,139861.699,3.392,-0.032,kernel,attention_prepare,0,463
574,139865.059,681.634,1.856,kernel,attention,0,464
575,140548.549,0.8,2.336,memset,memset,4,
576,140551.685,184.128,-0.352,kernel,gemm,0,465
577,140735.461,62.305,2.304,kernel,fused_add_rmsnorm,0,466
578,140800.07,20.96,0.96,kernel,gemm,0,467
579,140821.99,3.392,1.12,kernel,topk_sigmoid,0,468
580,140826.502,16.0,1.984,kernel,moe_align,0,469
581,140844.486,27.776,1.024,kernel,moe_count_sort,0,470
582,140873.286,3183.753,1.216,kernel,fused_moe,0,471
583,144058.255,155.617,1.44,kernel,act_and_mul,0,472
584,144215.312,1604.613,2.304,kernel,fused_moe,0,473
585,145822.229,76.16,0.384,kernel,moe_sum,0,474
586,145898.773,62.656,1.696,kernel,fused_add_rmsnorm,0,475
587,145963.125,0.8,1.568,memset,memset,4,
588,145965.493,533.538,1.184,kernel,gemm,0,476
589,146500.215,93.888,2.144,kernel,mul,0,477
590,146596.247,220.865,2.368,kernel,copy_bf16,0,478
591,146819.48,1.056,1.888,memcpy,memcpy_kind_8,16,
592,146822.424,0.736,34.24,memcpy,memcpy_kind_1,4,
593,146857.4,1.152,20.384,kernel,copy_int,0,479
594,146878.936,61.856,1.248,kernel,conv_fwd,0,480
595,146942.04,227.969,1.792,kernel,mul,0,481
596,147171.801,0.8,1.568,memset,memset,4,
597,147174.169,185.184,-0.128,kernel,gemm,0,482
598,147359.225,62.24,1.408,kernel,fused_add_rmsnorm,0,483
599,147422.873,20.481,1.248,kernel,gemm,0,484
600,147444.602,3.36,1.088,kernel,topk_sigmoid,0,485
601,147449.05,15.712,1.024,kernel,moe_align,0,486
602,147465.786,31.2,0.96,kernel,moe_count_sort,0,487
603,147497.946,3184.041,2.176,kernel,fused_moe,0,488
604,150684.163,154.177,2.272,kernel,act_and_mul,0,489
605,150840.612,1607.653,1.28,kernel,fused_moe,0,490
606,152449.545,75.008,0.224,kernel,moe_sum,0,491
607,152524.777,64.128,1.76,kernel,fused_add_rmsnorm,0,492
608,152590.665,0.8,1.6,memset,memset,4,
609,152593.065,532.674,1.248,kernel,gemm,0,493
610,153126.987,94.016,1.184,kernel,mul,0,494
611,153222.187,220.96,1.12,kernel,copy_bf16,0,495
612,153444.267,1.056,1.921,memcpy,memcpy_kind_8,16,
613,153447.244,0.736,32.896,memcpy,memcpy_kind_1,4,
614,153480.876,1.12,20.352,kernel,copy_int,0,496
615,153502.348,61.824,1.152,kernel,conv_fwd,0,497
616,153565.324,228.033,1.792,kernel,mul,0,498
617,153795.149,0.8,1.6,memset,memset,4,
618,153797.549,185.28,-0.16,kernel,gemm,0,499
619,153982.669,61.92,1.248,kernel,fused_add_rmsnorm,0,500
620,154045.837,20.256,1.184,kernel,gemm,0,501
621,154067.277,3.392,1.152,kernel,topk_sigmoid,0,502
622,154071.821,15.904,1.088,kernel,moe_align,0,503
623,154088.813,29.889,1.024,kernel,moe_count_sort,0,504
624,154119.726,3190.953,1.344,kernel,fused_moe,0,505
625,157312.023,154.081,1.312,kernel,act_and_mul,0,506
626,157467.416,1607.652,2.336,kernel,fused_moe,0,507
627,159077.404,74.817,0.192,kernel,moe_sum,0,508
628,159152.413,64.416,1.408,kernel,fused_add_rmsnorm,0,509
629,159218.237,1.376,1.056,kernel,copy,0,510
630,159220.669,0.768,2.016,kernel,other,0,511
631,159223.453,1.44,0.992,kernel,other,0,512
632,159225.885,1.152,1.056,kernel,other,0,513
633,159228.093,1.696,1.888,kernel,other,0,514
634,159231.677,1.76,1.6,memset,memset,4,
635,159235.037,134.688,2.176,kernel,gemm,0,515
636,159371.901,4.16,1.152,kernel,copy,0,516
637,159377.213,1.056,1.184,kernel,other,0,517
638,159379.453,29.888,,kernel,argmax,0,518
