index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
119,2362.216,0.672,9.504,kernel,other,0,88
120,2372.392,1.152,15.04,kernel,other,0,89
121,2388.584,2.176,40.64,kernel,other,0,90
122,2431.4,3.84,128.384,kernel,other,0,91
123,2563.624,32.672,73.184,kernel,other,0,92
124,2669.48,40.897,146.56,kernel,rmsnorm,0,93
125,2856.937,0.768,8.384,memset,memset,4,
126,2866.089,524.002,1.184,kernel,gemm,0,94
127,3391.275,89.568,1.12,kernel,mul,0,95
128,3481.963,225.473,1.984,kernel,copy_bf16,0,96
129,3709.42,1.024,1.728,memcpy,memcpy_kind_8,16,
130,3712.172,0.736,27.616,memcpy,memcpy_kind_1,4,
131,3740.524,1.088,43.136,kernel,copy_int,0,97
132,3784.748,59.008,1.024,kernel,conv_fwd,0,98
133,3844.78,225.089,1.696,kernel,mul,0,99
134,4071.565,0.8,1.568,memset,memset,4,
135,4073.933,169.248,-0.128,kernel,gemm,0,100
136,4243.053,60.736,1.504,kernel,fused_add_rmsnorm,0,101
137,4305.293,0.8,1.984,memset,memset,4,
138,4308.077,1192.868,1.568,kernel,gemm,0,102
139,5502.513,156.416,1.696,kernel,act_and_mul,0,103
140,5660.625,0.8,1.6,memset,memset,4,
141,5663.025,590.466,-0.16,kernel,gemm,0,104
142,6253.331,61.504,1.664,kernel,fused_add_rmsnorm,0,105
143,6316.499,0.8,1.568,memset,memset,4,
144,6318.867,523.106,1.984,kernel,gemm,0,106
145,6843.957,89.12,1.952,kernel,mul,0,107
146,6935.029,220.065,1.28,kernel,copy_bf16,0,108
147,7156.374,1.024,1.664,memcpy,memcpy_kind_8,16,
148,7159.062,0.736,33.76,memcpy,memcpy_kind_1,4,
149,7193.558,1.248,25.312,kernel,copy_int,0,109
150,7220.118,58.464,1.312,kernel,conv_fwd,0,110
151,7279.894,225.665,1.824,kernel,mul,0,111
152,7507.383,0.768,1.6,memset,memset,4,
153,7509.751,173.825,-0.16,kernel,gemm,0,112
154,7683.416,62.112,1.632,kernel,fused_add_rmsnorm,0,113
155,7747.16,0.8,2.016,memset,memset,4,
156,7749.976,1194.659,2.048,kernel,gemm,0,114
157,8946.683,154.625,1.504,kernel,act_and_mul,0,115
158,9102.812,0.8,1.536,memset,memset,4,
159,9105.148,589.474,-0.224,kernel,gemm,0,116
160,9694.398,62.4,1.44,kernel,fused_add_rmsnorm,0,117
161,9758.238,0.8,1.6,memset,memset,4,
162,9760.638,258.689,2.144,kernel,gemm,0,118
163,10021.471,76.8,-0.128,kernel,copy_bf16,0,119
164,10098.143,617.698,1.024,kernel,rmsnorm,0,120
