run,index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
prefill_b4x4000_nograph,150,18114.07,3176.842,1.248,3,moe_up,fused_moe,fused_moe_kernel,57848,128,
prefill_b4x4000_nograph,151,21292.16,155.072,1.152,3,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
prefill_b4x4000_nograph,152,21448.384,1602.277,1.024,3,moe_down,fused_moe,fused_moe_kernel,33056,128,
prefill_b4x4000_nograph,153,23051.685,76.768,-0.128,3,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
prefill_b4x4000_graph,137,16537.938,61.888,4.064,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
prefill_b4x4000_graph,138,16603.89,522.53,1.248,3,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
prefill_b4x4000_graph,139,17127.668,89.472,2.112,3,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
prefill_b4x4000_graph,140,17219.252,220.256,68.065,3,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
prefill_b4x4000_graph,141,17507.573,1.792,31.712,3,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
prefill_b4x4000_graph,142,17541.077,57.984,1.312,3,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
prefill_b4x4000_graph,143,17600.373,225.825,4.096,3,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
prefill_b4x4000_graph,144,17830.294,173.536,-0.16,3,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
prefill_b4x4000_graph,145,18003.67,61.824,1.312,3,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
prefill_b4x4000_graph,146,18066.806,20.256,1.216,3,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
prefill_b4x4000_graph,147,18088.278,3.136,1.12,3,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
prefill_b4x4000_graph,148,18092.534,14.912,1.056,3,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
prefill_b4x4000_graph,149,18108.502,24.449,0.992,3,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
prefill_b4x4000_graph,150,18133.943,3184.585,1.088,3,moe_up,fused_moe,fused_moe_kernel,57848,128,
prefill_b4x4000_graph,151,21319.616,154.817,1.152,3,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
prefill_b4x4000_graph,152,21475.585,1603.396,1.184,3,moe_down,fused_moe,fused_moe_kernel,33056,128,
prefill_b4x4000_graph,153,23080.165,76.737,0.224,3,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
