index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
367,20979.13,0.96,96.993,kernel,moe_sum,0,365
368,21077.083,2.208,67.968,kernel,fused_add_rmsnorm,0,366
369,21147.259,8.896,20.608,kernel,gemm,0,367
370,21176.763,0.992,24.736,kernel,mul,0,368
371,21202.491,1.248,19.072,kernel,copy_int,0,369
372,21222.811,2.432,15.584,kernel,conv_update,0,370
373,21240.827,0.96,34.144,kernel,mul,0,371
374,21275.931,5.376,21.056,kernel,gemm,0,372
375,21302.363,1.888,30.208,kernel,fused_add_rmsnorm,0,373
376,21334.459,4.992,33.504,kernel,gemm,0,374
377,21372.955,2.016,129.121,kernel,topk_sigmoid,0,375
378,21504.092,4.448,71.808,kernel,moe_align,0,376
379,21580.348,19.488,2.848,kernel,fused_moe,0,377
380,21602.684,1.216,53.952,kernel,act_and_mul,0,378
381,21657.852,14.784,83.808,kernel,fused_moe,0,379
382,21756.444,0.961,87.136,kernel,moe_sum,0,380
383,21844.541,2.272,108.576,kernel,fused_add_rmsnorm,0,381
384,21955.389,0.8,7.456,memset,memset,4,
385,21963.645,123.616,1.344,kernel,gemm,0,382
386,22088.605,3.712,1.184,kernel,copy,0,383
387,22093.501,27.649,,kernel,argmax,0,384
