run,role,calls,total_us,pct_kernel,avg_us
prefill_b4x4000_graph,attn_q_layout_copy,6,469.856,0.3037,78.309
prefill_b4x4000_graph,attn_q_norm,6,3706.668,2.3956,617.778
prefill_b4x4000_graph,attn_qkv_proj,6,1585.861,1.0249,264.31
prefill_b4x4000_graph,attn_rope,6,337.953,0.2184,56.326
prefill_b4x4000_graph,attn_store_kv,6,98.656,0.0638,16.443
prefill_b4x4000_graph,conv_b_gate_mul,18,1642.596,1.0616,91.255
prefill_b4x4000_graph,conv_c_gate_mul,18,4080.077,2.6369,226.671
prefill_b4x4000_graph,conv_cache_indices_cast,18,21.568,0.0139,1.198
prefill_b4x4000_graph,conv_in_proj,18,9467.612,6.1188,525.978
prefill_b4x4000_graph,conv_kernel,18,1080.13,0.6981,60.007
prefill_b4x4000_graph,conv_layout_copy,18,3975.724,2.5695,220.874
prefill_b4x4000_graph,conv_out_proj,18,3230.219,2.0876,179.457
prefill_b4x4000_graph,dense_activation,2,310.592,0.2007,155.296
prefill_b4x4000_graph,dense_down,2,1181.572,0.7636,590.786
prefill_b4x4000_graph,dense_gate_up,2,2392.936,1.5465,1196.468
prefill_b4x4000_graph,ffn_norm,24,1486.531,0.9607,61.939
prefill_b4x4000_graph,final_norm,1,64.416,0.0416,64.416
prefill_b4x4000_graph,lm_head,1,134.688,0.087,134.688
prefill_b4x4000_graph,logits_prep,5,6.432,0.0042,1.286
prefill_b4x4000_graph,moe_activation,22,3410.028,2.2039,155.001
prefill_b4x4000_graph,moe_align,22,338.336,0.2187,15.379
prefill_b4x4000_graph,moe_count_sort,22,615.875,0.398,27.994
prefill_b4x4000_graph,moe_down,22,35219.753,22.762,1600.898
prefill_b4x4000_graph,moe_router,22,455.618,0.2945,20.71
prefill_b4x4000_graph,moe_sum,22,1662.725,1.0746,75.578
prefill_b4x4000_graph,moe_topk,22,71.745,0.0464,3.261
prefill_b4x4000_graph,moe_up,22,69947.76,45.2062,3179.444
prefill_b4x4000_graph,operator_norm,24,1487.365,0.9613,61.974
prefill_b4x4000_graph,unassigned:argmax,1,29.888,0.0193,29.888
prefill_b4x4000_graph,unassigned:copy,2,5.504,0.0036,2.752
prefill_b4x4000_graph,unassigned:copy_int,2,1.92,0.0012,0.96
prefill_b4x4000_graph,unassigned:other,91,214.56,0.1387,2.358
