index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
91,2074.886,3.84,128.384,,,other,_scatter_gather_elementwise_kernel,16,128,
92,2207.11,32.672,73.184,,,other,vectorized_gather_kernel,16000,256,
93,2312.966,40.897,155.712,0,operator_norm,rmsnorm,RMSNormKernel,16000,32,
94,2509.575,524.002,1.184,0,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
95,3034.761,89.568,1.12,0,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
96,3125.449,225.473,33.088,0,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
97,3384.01,1.088,43.136,0,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
98,3428.234,59.008,1.024,0,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
99,3488.266,225.089,4.064,0,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
100,3717.419,169.248,-0.128,0,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
101,3886.539,60.736,4.288,0,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
102,3951.563,1192.868,1.568,0,dense_gate_up,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
103,5145.999,156.416,4.096,0,dense_activation,act_and_mul,act_and_mul_kernel,16000,896,
104,5306.511,590.466,-0.16,0,dense_down,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
105,5896.817,61.504,4.032,1,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
106,5962.353,523.106,1.984,1,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
107,6487.443,89.12,1.952,1,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
108,6578.515,220.065,38.464,1,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
109,6837.044,1.248,25.312,1,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
110,6863.604,58.464,1.312,1,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
111,6923.38,225.665,4.192,1,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
112,7153.237,173.825,-0.16,1,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
113,7326.902,62.112,4.448,1,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
114,7393.462,1194.659,2.048,1,dense_gate_up,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
115,8590.169,154.625,3.84,1,dense_activation,act_and_mul,act_and_mul_kernel,16000,896,
116,8748.634,589.474,-0.224,1,dense_down,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
117,9337.884,62.4,3.84,2,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
118,9404.124,258.689,2.144,2,attn_qkv_proj,gemm,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,2,384,
119,9664.957,76.8,-0.128,2,attn_q_layout_copy,copy_bf16,elementwise_kernel,64000,128,
120,9741.629,617.698,1.024,2,attn_q_norm,rmsnorm,RMSNormKernel,512000,32,
121,10360.351,22.112,-0.128,2,attn_k_layout_copy,copy_bf16,elementwise_kernel,16000,128,
122,10382.335,156.0,1.952,2,attn_k_norm,rmsnorm,RMSNormKernel,128000,32,
123,10540.287,56.128,-0.128,2,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1000,8,
124,10596.287,15.712,1.088,2,attn_store_kv,store_kv,store_kvcache,8000,128,
125,10613.087,3.2,-0.032,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
126,10616.255,607.49,4.8,2,attn_kernel,attention,device_kernel,132,512,
127,11228.545,174.625,-0.16,2,attn_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
128,11403.01,61.568,1.152,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
129,11465.73,21.696,1.952,2,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
130,11489.378,3.2,0.96,2,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
131,11493.538,14.528,0.896,2,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
132,11508.962,20.896,0.96,2,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
133,11530.818,3179.53,1.952,2,moe_up,fused_moe,fused_moe_kernel,57848,128,
134,14712.3,154.24,2.304,2,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
135,14868.844,1603.077,1.184,2,moe_down,fused_moe,fused_moe_kernel,33056,128,
136,16473.105,76.096,-0.128,2,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
137,16549.073,63.84,4.928,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
138,16617.841,521.89,1.92,3,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
139,17141.651,89.344,1.024,3,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
140,17232.019,221.121,41.696,3,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
141,17494.836,1.248,23.552,3,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
142,17519.636,57.92,1.216,3,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
143,17578.772,226.881,6.144,3,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
144,17811.797,174.177,-0.128,3,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
145,17985.846,60.896,1.312,3,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
