model,regime,configuration,repeat,req_per_s,output_tok_per_s,num_ok,num_total,completion_rate,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p95,tpot_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99
lfm25,C128_O256,baseline,3,23.85,6105.546,128,128,1.0,2060.807,2031.174,4108.934,4125.764,4.852,4.804,5.062,5.064,3298.823,3289.599,5317.945,5333.464
lfm25,C64_O512,baseline,3,12.338,6316.809,64,64,1.0,1353.922,1336.526,2649.526,2660.985,4.834,4.851,4.903,4.907,3824.695,3808.967,5154.227,5167.955
lfm25,C64_O512,baseline,4,12.367,6332.002,64,64,1.0,1371.075,1368.595,2662.636,2673.105,4.836,4.835,4.852,4.955,3846.228,3843.42,5139.473,5148.308
lfm25,C128_O256,baseline,4,23.91,6120.848,128,128,1.0,2053.252,2013.206,4101.509,4117.818,4.848,4.821,5.051,5.067,3286.041,3272.984,5302.991,5321.531
lfm25,C128_O256,baseline,5,23.872,6111.247,128,128,1.0,2062.878,2024.455,4116.052,4134.732,4.846,4.825,5.07,5.083,3295.991,3285.031,5317.66,5336.562
lfm25,C64_O512,baseline,5,12.299,6297.322,64,64,1.0,1390.679,1389.22,2674.244,2679.687,4.838,4.86,4.882,4.949,3866.62,3867.103,5167.342,5173.823
lfm25,C64_O512,cap_only,1,17.391,8904.334,64,64,1.0,168.591,169.506,202.112,204.018,6.723,6.696,6.881,7.004,3610.26,3611.236,3662.536,3671.28
lfm25,C128_O256,cap_only,1,50.438,12912.102,128,128,1.0,399.246,407.282,453.336,456.89,7.988,8.045,8.153,9.402,2379.3,2384.767,2420.102,2430.041
lfm25,C128_O256,cap_only,2,53.474,13689.433,128,128,1.0,297.053,313.11,353.514,360.476,7.791,7.66,8.624,8.893,2290.01,2290.324,2368.542,2381.898
lfm25,C64_O512,cap_only,2,17.308,8861.772,64,64,1.0,179.933,180.156,211.842,214.494,6.726,6.72,6.836,7.019,3624.281,3627.648,3671.196,3674.621
lfm25,C64_O512,cap_only,3,17.382,8899.753,64,64,1.0,178.559,182.633,204.317,207.272,6.707,6.704,6.785,6.987,3613.426,3612.011,3661.983,3668.467
lfm25,C128_O256,cap_only,3,54.102,13850.127,128,128,1.0,280.004,299.647,336.408,341.008,7.755,7.647,8.543,8.745,2264.24,2263.419,2339.881,2350.284
lfm25,C128_O256,cap_only,4,53.979,13818.733,128,128,1.0,281.279,298.342,335.848,344.05,7.778,7.645,8.527,8.917,2271.095,2272.088,2343.262,2361.336
lfm25,C64_O512,cap_only,4,17.266,8840.023,64,64,1.0,118.178,129.576,153.057,156.325,6.78,6.736,7.049,7.074,3591.1,3582.644,3679.566,3700.471
lfm25,C64_O512,cap_only,5,17.408,8912.884,64,64,1.0,159.552,161.53,189.828,194.011,6.726,6.708,6.854,6.925,3604.485,3605.853,3649.508,3671.942
lfm25,C128_O256,cap_only,5,53.552,13709.19,128,128,1.0,295.352,310.376,355.038,361.857,7.797,7.668,8.623,8.889,2289.547,2292.184,2361.941,2375.797
lfm25,C128_O256,full_high_concurrency,1,49.332,12628.918,128,128,1.0,267.681,217.279,471.654,478.499,8.688,8.945,9.621,9.773,2489.455,2488.513,2563.124,2577.757
lfm25,C64_O512,full_high_concurrency,1,16.366,8379.385,64,64,1.0,429.494,451.344,483.77,485.557,6.622,6.596,6.743,6.768,3768.284,3842.674,3877.324,3880.616
lfm25,C128_O256,full_high_concurrency,2,52.985,13564.081,128,128,1.0,177.466,175.037,226.269,234.487,8.218,8.273,8.751,8.983,2278.473,2312.205,2387.568,2394.781
lfm25,C64_O512,full_high_concurrency,2,17.509,8964.578,64,64,1.0,134.678,142.857,167.839,169.534,6.747,6.747,6.918,7.0,3590.003,3593.323,3635.788,3648.746
lfm25,C128_O256,full_high_concurrency,3,53.505,13697.285,128,128,1.0,201.66,198.241,291.224,296.659,8.173,8.167,8.831,8.996,2291.599,2289.273,2367.204,2380.333
lfm25,C64_O512,full_high_concurrency,3,17.456,8937.522,64,64,1.0,144.121,148.452,181.803,185.619,6.747,6.755,6.936,7.023,3599.148,3600.125,3648.718,3660.505
lfm25,C64_O512,full_high_concurrency,4,17.51,8965.194,64,64,1.0,137.133,142.558,172.435,174.232,6.731,6.717,6.897,6.946,3583.001,3583.797,3625.488,3652.462
lfm25,C128_O256,full_high_concurrency,4,53.047,13580.016,128,128,1.0,210.144,207.01,298.807,305.365,8.219,8.24,8.843,9.014,2311.897,2314.156,2386.023,2397.537
lfm25,C64_O512,full_high_concurrency,5,17.336,8876.156,64,64,1.0,129.557,133.847,161.229,164.456,6.828,6.811,6.986,7.064,3625.886,3629.535,3672.253,3676.671
lfm25,C128_O256,full_high_concurrency,5,51.475,13177.698,128,128,1.0,290.672,288.596,371.665,377.29,8.193,8.221,8.818,9.362,2385.503,2386.329,2460.775,2473.319
