regime,label,offered_req_s,achieved_req_s,in_flight,client_cap,utilisation,server_running_mean,server_running_peak,server_queue_peak,throughput_gain_pct,throughput_p,n_per_arm,ttft_p50_ms_baseline,ttft_p50_ms_gain_pct,ttft_p50_ms_p,ttft_p95_ms_baseline,ttft_p95_ms_gain_pct,ttft_p95_ms_p,tpot_p50_ms_baseline,tpot_p50_ms_gain_pct,tpot_p50_ms_p,e2e_mean_ms_baseline,e2e_mean_ms_gain_pct,e2e_mean_ms_p,e2e_p95_ms_baseline,e2e_p95_ms_gain_pct,e2e_p95_ms_p
RT_tool_agent_x1,1.0x,5.6,5.263946296750418,4.713947839470151,128,0.03682771749586056,4.398968819052295,20,12,0.49871128071969917,9.360800474679433e-08,16,319.5470451610163,-8.419539029628908,8.809985100952779e-15,530.5677687123534,-7.8850429262123605,3.3947375664518814e-21,3.254497378559385,-4.563938770475772,1.5766165766958682e-14,895.5159444503079,-6.256720945890947,3.5970867480932656e-21,2093.766386776406,-6.329044804209893,2.298384255224388e-16
RT_tool_agent_x133,1.33x,7.1,6.774354157030157,6.01569922478958,128,0.0469976501936686,4.655813953488372,21,12,0.2647057518262885,1.1274967661337086e-12,16,320.63278717396315,-7.461557113640927,4.0103895257616744e-10,516.1505027994281,-10.877329100210176,7.496358345114565e-05,3.2579069980056503,-4.8752790045290535,2.9467160718534944e-15,888.0107365728327,-6.635248287278273,3.560612108808763e-18,2094.6054902218743,-6.029690836762914,5.642290219218141e-16
RT_tool_agent_x2,2.0x,10.7,9.895214387028956,9.86896697676837,128,0.07710130450600289,6.923717295276928,27,13,0.3088691495927165,1.1222490165463013e-07,16,320.4727744014235,-6.744241101649151,1.9024895319634538e-22,513.0885827558812,-8.057831626331048,3.982626391573148e-05,3.8259313322935107,-6.946432408124958,1.7135767344983174e-18,997.3474642151268,-7.985197984234416,3.3560390069348784e-24,2595.7965511945076,-7.516178186272704,2.8279278534502894e-22
RT_tool_agent_x3,3.0x,16.8,15.64291824760408,20.278249527028617,128,0.15842382442991107,16.26076491040385,32,19,0.9172656660594747,6.219495379746103e-18,16,337.12224948976655,-8.075149001968429,8.62963783798927e-24,578.1083539215614,-12.393619100798492,2.571568445676541e-08,5.11941432328652,-12.253893710612596,1.1088982313204748e-20,1296.3213900407936,-11.600410868964984,6.3612833963432165e-28,3795.295580524543,-9.414828188488855,3.617822155929263e-21
RT_tool_agent_x4,4.0x,22.2,18.52072548443724,55.50102990415708,128,0.4336017961262272,29.19457051605312,32,85,2.7914785042392865,7.0595553735734124e-06,16,550.8951681549661,-24.543818373587634,0.024009046545839404,6696.195362605791,-45.335821469231206,2.2088198323934618e-08,8.5968819449035,-7.393817869423803,2.6910578878470436e-09,2996.6984798081467,-21.802252426326486,1.5481206157486121e-15,9278.300708129242,-27.312833951112804,2.842404789176993e-12
