regime,workload,kind,n_per_arm,baseline_req_s,l3_req_s,throughput_gain_pct,throughput_p,ttft_p50_ms_baseline,ttft_p50_ms_gain_pct,ttft_p50_ms_p,ttft_p95_ms_baseline,ttft_p95_ms_gain_pct,ttft_p95_ms_p,tpot_p50_ms_baseline,tpot_p50_ms_gain_pct,tpot_p50_ms_p,e2e_mean_ms_baseline,e2e_mean_ms_gain_pct,e2e_mean_ms_p,e2e_p95_ms_baseline,e2e_p95_ms_gain_pct,e2e_p95_ms_p
RT_tool_agent_x1,Tool-Agent 1.0x,real trace, arrival-limited,16,5.263946296750418,5.290198190743339,0.49871128071969917,9.360800474679433e-08,319.5470451610163,-8.419539029628908,8.809985100952779e-15,530.5677687123534,-7.8850429262123605,3.3947375664518814e-21,3.254497378559385,-4.563938770475772,1.5766165766958682e-14,895.5159444503079,-6.256720945890947,3.5970867480932656e-21,2093.766386776406,-6.329044804209893,2.298384255224388e-16
RT_tool_agent_x2,Tool-Agent 2.0x,real trace,16,9.895214387028956,9.925777651556547,0.3088691495927165,1.1222490165463013e-07,320.4727744014235,-6.744241101649151,1.9024895319634538e-22,513.0885827558812,-8.057831626331048,3.982626391573148e-05,3.8259313322935107,-6.946432408124958,1.7135767344983174e-18,997.3474642151268,-7.985197984234416,3.3560390069348784e-24,2595.7965511945076,-7.516178186272704,2.8279278534502894e-22
RT_tool_agent_x3,Tool-Agent 3.0x,real trace, near knee,16,15.64291824760408,15.786405365859105,0.9172656660594747,6.219495379746103e-18,337.12224948976655,-8.075149001968429,8.62963783798927e-24,578.1083539215614,-12.393619100798492,2.571568445676541e-08,5.11941432328652,-12.253893710612596,1.1088982313204748e-20,1296.3213900407936,-11.600410868964984,6.3612833963432165e-28,3795.295580524543,-9.414828188488855,3.617822155929263e-21
RT_tool_agent_x4,Tool-Agent 4.0x,real trace, saturated,16,18.52072548443724,19.037727555164473,2.7914785042392865,7.0595553735734124e-06,550.8951681549661,-24.543818373587634,0.024009046545839404,6696.195362605791,-45.335821469231206,2.2088198323934618e-08,8.5968819449035,-7.393817869423803,2.6910578878470436e-09,2996.6984798081467,-21.802252426326486,1.5481206157486121e-15,9278.300708129242,-27.312833951112804,2.842404789176993e-12
RT_conversation_x2,Conversation 2.0x,real trace, generation-heavy,16,5.1728967607161165,5.179777644764443,0.13301800454594837,0.002659517302686193,205.23948181653395,-6.071630631036884,1.1125964790701554e-16,460.0836298399372,-5.9130904848673005,1.840398963205642e-18,3.2409674168513773,-7.539104185428325,2.9885656836961035e-21,1282.0721614945796,-7.576301255197471,7.858914221618521e-24,2461.9151336781215,-8.247088393355195,1.073530071692976e-21
RT_conversation_x4,Conversation 4.0x,real trace, generation-heavy,16,10.206582903655862,10.335243813457945,1.260567919905875,4.176795052813435e-22,223.87570592400152,-8.148963612794125,1.9285738442154565e-10,487.215157602622,-5.504109688565806,0.02050619216004982,5.184005370089135,-11.572002220628974,8.593214810850359e-19,1966.1840565049351,-9.598980631656417,2.0551050021393226e-21,4091.223949313279,-5.961635859527359,2.5686022123962815e-10
RT_mooncake_generic_x2,Mooncake arxiv 2.0x,sibling of Tool-Agent,16,9.705807803883557,9.789334697069751,0.860586721620149,5.541299244627058e-12,323.9678892423399,-7.697203869895819,1.7064146988520377e-23,522.7892942930339,-9.289558941856434,3.3099783942025512e-06,3.824216546108388,-7.990463699762518,6.714247830314648e-26,998.3490115865425,-8.252248099746339,3.809144949004754e-26,2579.2828452351378,-5.906007735708063,3.064225343288722e-16
RT_sharegpt_rate8,ShareGPT 8 req/s,real prompts, Poisson arrivals,16,8.088076343533352,8.154891978546399,0.8261004492924551,4.128010120297894e-15,30.50583576259669,-9.062380646587743,3.589664939956308e-13,56.278252977062955,-7.050633511952964,1.7270900764815312e-06,5.268122916575502,-6.909354460517603,1.0302745949648765e-27,1051.7630246721092,-7.562683560432804,4.035593478871893e-28,3560.7928196332073,-6.983105447429338,1.651942502863823e-23
RT_sharegpt_rate16,ShareGPT 16 req/s,real prompts, Poisson arrivals,16,15.63140147110162,15.88281626711118,1.6083957441331176,2.1673256660061686e-21,41.95319015707355,-19.69389944165044,2.8259994400356138e-15,165.1192300036197,-56.824000496843915,7.112188734719358e-10,7.811832470608213,-9.45568259019981,6.571239423633354e-22,1476.6632937749819,-8.905464729672097,1.2260622149814259e-18,4871.308605767261,-9.614228631434186,2.0948866925168986e-20
