model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,rep,completed,num_prompts,failed_reqs,dur_s,request_throughput,input_throughput,output_throughput,total_throughput,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_mean_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,mean_in_len,mean_out_len,worker
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,tool_agent,0,200,200,0,38.240355695132166,5.230076874663045,13946.261490132742,1084.273387270769,15030.53487740351,330.5509153800085,230.2624995354563,1030.9474281501025,1752.989036445505,4.982556360638359,3.506584498126291,10.410530932963711,31.02860788814727,3.4443336835354232,966.8398984079248,517.6332746632397,2382.506241463123,3650.13262990862,2666.55,207.315,g5
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_medium_balanced,0,16,16,0,2.33070819824934,6.864866229079233,5491.892983263387,1757.4057546442837,7249.298737907669,108.88591324328443,107.45457140728831,114.1853294102475,114.22740740235896,4.1193220811192965,4.126204101953144,4.273765848255625,4.286854208684435,4.1193220811192965,1159.3130439287052,1159.4274416565895,1202.7591109508649,1203.1083471374586,800.0,256.0,g5
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_long_prefill,0,4,4,0,0.3277728697285056,12.203572563260655,48814.29025304262,390.51432202434097,49204.80457506696,219.56978854723275,219.88959913142023,220.28788870666176,220.32077935058624,3.184636266181065,3.166358805291595,3.240203514935509,3.250483261241067,3.184636266181065,318.29351279884577,318.15448263660073,318.89985678717494,318.9924537949264,4000.0,32.0,g5
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_short_decode,0,8,8,0,4.81896891631186,1.6601061635655254,166.01061635655256,424.9871778727745,590.997794229327,33.57569588115439,34.31221004575491,40.08454524446279,40.24352035019547,2.227336189608628,2.226427626595193,2.232529113974833,2.232651299756666,2.227331157746314,600.988308317028,601.6781891230494,607.523226714693,607.5726519478485,100.0,256.0,g5
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,shared_prefix,0,128,128,0,19.598663070239127,6.531057732931282,15341.148471324352,1671.9507796304083,17013.09925095476,6690.464122591948,7572.756684850901,11252.174528851174,12564.21177398879,3.927072601354404,3.9714520632782406,4.283960287404411,4.289779165960557,3.927099730719357,7691.751832058799,8563.363283872604,12274.93636396248,13595.500787976198,2348.953125,256.0,g5
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_concurrent_decode,0,32,32,0,4.062894144561142,7.87615893041105,1575.23178608221,2016.2966861852287,3591.5284722674387,1557.033186647459,1548.7883291207254,3058.9916236000136,3059.0982744982466,3.789315439073606,3.7999453726133297,3.882580958306789,3.882739099929584,3.789315439073606,2523.3086236112285,2517.910677008331,4049.011174985208,4049.053779938258,200.0,256.0,g5
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,shared_prefix,0,128,128,0,20.0047315210104,6.398486271388609,15029.74432244787,1638.0124854754838,16667.756807923353,6882.43057938962,7567.47985095717,11261.4432817325,12841.46461599041,3.95159215618418,3.971576168402737,4.2857316119012,4.289552574776406,3.95159215618418,7890.086579216586,8562.725523486733,12269.72832668107,13878.835492790678,2348.953125,256.0,g6
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_concurrent_decode,0,32,32,0,4.0927644381299615,7.818676223306227,1563.7352446612454,2001.581113166394,3565.3163578276394,1575.7359964190982,1570.3643304295838,3087.5535924220458,3087.728193886578,3.795083927380962,3.796384920019145,3.881192046272404,3.881360349939296,3.795083927380962,2543.4823979012435,2538.5671299882238,4077.1972937509418,4077.3344312096015,200.0,256.0,g6
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_short_decode,0,8,8,0,4.817885489203036,1.660479481699625,166.04794816996247,425.0827473151039,591.1306954850664,32.577393925748765,33.166945446282625,38.93306693062186,39.385743867605925,2.2298197666548987,2.229034022300267,2.2335763510298063,2.2344028222868104,2.2298174176242727,600.9021082427353,601.6762629151344,607.144849631004,607.7257138257846,100.0,256.0,g6
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_medium_balanced,0,16,16,0,2.289024769794196,6.989876305025107,5591.9010440200855,1789.4083340864274,7381.309378106513,103.21390457102098,101.81898437440395,107.0876964367926,107.16648185625672,4.061323492993218,4.069361021267433,4.141453625269088,4.152616582555222,4.061323492993217,1138.8513952842914,1139.0275317244232,1156.2894488452002,1156.3238009577617,800.0,256.0,g6
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_long_prefill,0,4,4,0,0.3090023859404027,12.944883864979216,51779.535459916864,414.2362836793349,52193.7717435962,199.51683818362653,200.29394375160336,200.6836675805971,200.71805925574157,3.1965252109653046,3.164726632436917,3.283933469755275,3.30067363552629,3.1965252109653046,298.609119723551,298.6898841336369,299.15082298684865,299.1929062316194,4000.0,32.0,g6
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,tool_agent,0,200,200,0,38.28872720664367,5.22346953244497,13928.642681741134,1082.9035861188288,15011.546267859962,324.7321723215282,225.39471904747188,1037.6042208401482,1731.3894259231158,5.036473108191126,3.487199544906616,10.80434923700016,37.79215293005109,3.445410327158567,961.2028220575304,515.294142300263,2412.0114270132017,3652.3033596063024,2666.55,207.315,g6
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_medium_balanced,0,16,16,0,2.4773476268164814,6.458520325046518,5166.816260037214,1653.3812032119083,6820.197463249123,161.05276535381563,142.3708009533584,229.16329570580277,229.3099133530632,4.198556048476009,4.272131054826518,4.284495479591629,4.296344455660266,4.19855604847601,1231.684557715198,1231.725265737623,1241.4139073807746,1241.5263919625431,800.0,256.0,g4
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,tool_agent,0,200,200,0,38.29233648627997,5.222977189486973,13927.329824626488,1082.801516038492,15010.13134066498,331.51017763186246,236.8096045684069,1045.5627053510389,1754.4572944147503,5.230285200736504,3.574094300415786,11.569252202957212,37.88403933867812,3.4717646507535167,972.8666203888132,522.536450298503,2431.065048347225,3725.176614988595,2666.55,207.315,g4
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,shared_prefix,0,128,128,0,19.656645238399506,6.511792752404687,15295.89593511334,1667.0189446155998,16962.91487972894,6712.881998926605,7591.379523510113,11277.71485375706,12599.122054846956,3.9319195496946655,3.975441221001686,4.28422108283449,4.289404434937181,3.931946532312474,7715.405491337151,8583.407244412228,12299.924947856924,13628.669388522394,2348.953125,256.0,g4
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_long_prefill,0,4,4,0,0.3318698559887707,12.052917515157947,48211.67006063178,385.6933604850543,48597.36342111684,222.8358545107767,223.43991976231337,223.8504156703129,223.8911128835753,3.219016061554993,3.192012641398657,3.2861504823930803,3.2993397981889787,3.219016061554993,322.6253524189815,322.6546994410455,322.93380566406995,322.9419949511066,4000.0,32.0,g4
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_concurrent_decode,0,32,32,0,4.085500424262136,7.83257781836588,1566.515563673176,2005.1399215016647,3571.655485174841,1569.2090333322994,1563.1197004113346,3077.8144194278866,3077.9875256400555,3.805124415963541,3.806465222299391,3.891583180931561,3.891789355443097,3.8051244159635416,2539.5157594030024,2534.0386705938727,4070.098417671397,4070.347397495061,200.0,256.0,g4
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_short_decode,0,8,8,0,4.854935071896762,1.6478078247243173,164.78078247243172,421.8388031294252,586.619585601857,35.2655898896046,36.27917915582657,41.83136536739767,41.91613319329917,2.236495928894783,2.2361765451291027,2.2402862807383803,2.24042171806713,2.2364922804196783,605.0119983265176,606.6853837110102,611.1102223396301,611.3354215025902,100.0,256.0,g4
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,R_concurrent_decode,0,32,32,0,4.154881031252444,7.701784902937148,1540.3569805874297,1971.65693515191,3512.01391573934,1634.1136979463045,1632.9173198901117,3147.80043810606,3147.959113577381,3.812018621772272,3.80578265872364,3.886939342243268,3.8879961145347823,3.812018621772272,2606.178446498234,2601.26226162538,4137.368311802857,4137.761091887951,200.0,256.0,g5
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,tool_agent,0,200,200,0,38.28028081217781,5.224622070598175,13931.715982353564,1083.1425245660607,15014.858506919623,325.0130807212554,226.85775556601584,1025.8815795183175,1710.1985183684149,4.963606920261099,3.459879825243004,10.70393725328714,36.39722406864167,3.4258284112461497,957.8834922728128,514.0020542312413,2393.745888257398,3662.878445144742,2666.55,207.315,g5
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,R_medium_balanced,0,16,16,0,2.251263788901269,7.107119156306783,5685.695325045426,1819.4225040145363,7505.117829059962,100.30299171921796,99.03010143898427,105.45631952118129,105.62802532222122,4.001350847629867,4.008082373469484,4.134092513270968,4.145204419836256,4.001350847629866,1120.647457864834,1120.7549762912097,1150.034851860255,1150.2066920511425,800.0,256.0,g5
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,shared_prefix,0,128,128,0,19.524741209112108,6.555784715869268,15399.230995168353,1678.2808872625326,17077.511882430885,6658.39889621202,7543.422907823697,11205.9258709196,12515.916546289807,3.9275591971984953,3.963120908056404,4.275940924828105,4.283036694113238,3.927573287753349,7659.838032090192,8536.31682950072,12231.022999319248,13541.331786974331,2348.953125,256.0,g5
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,R_short_decode,0,8,8,0,4.829488859977573,1.6564899996553983,165.64899996553982,424.061439911782,589.7104398773217,33.50996057270095,34.07239029183984,41.04761970229447,41.1176957283169,2.2308616315646117,2.2302845511220246,2.235500183247558,2.2358441661246884,2.230859145772419,602.1001853514463,602.7998977806419,609.2852224363014,609.4894148549065,100.0,256.0,g5
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,R_long_prefill,0,4,4,0,0.3054973790422082,13.093402020471512,52373.60808188604,418.9888646550884,52792.59694654113,197.50370923429728,197.9844605084509,198.3104089507833,198.33721299190077,3.203402731507536,3.1815025309521343,3.2573895431273887,3.2680333686632017,3.2034027315075355,296.8091939110309,296.8417939264328,297.0676728524268,297.0883553661406,4000.0,32.0,g5
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,tool_agent,0,200,200,0,38.26740326406434,5.226380233325458,13936.404211174,1083.5070180718674,15019.911229245869,355.5562130967155,255.56172337383032,1437.1383551275353,1754.76008425001,5.145986540228538,3.5294071971149434,11.516042102716469,37.20405274070799,3.4461104350524194,992.156193763949,519.2093418445438,2368.609339953397,3633.69981097523,2666.55,207.315,g6
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_long_prefill,0,4,4,0,0.3284069658257067,12.18000961076719,48720.03844306876,389.7603075445501,49109.79875061331,218.65243115462363,219.1648164298385,219.60886614397168,219.64818509295583,3.2296888455147705,3.205690930988039,3.299021572926112,3.3120919540224056,3.22968884551477,318.7727853655815,318.87060473673046,319.347136374563,319.38800564035773,4000.0,32.0,g6
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_short_decode,0,8,8,0,4.831364622805268,1.6558468723801074,165.58468723801076,423.8967993293075,589.4814865673183,34.71099346643314,33.79978192970157,43.447295227088034,44.47243251372129,2.227779861731165,2.2271734927141784,2.2320150701131114,2.232807347327324,2.227776122011676,602.2369605489075,601.669637253508,610.5635644169524,611.6904626274481,100.0,256.0,g6
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,shared_prefix,0,128,128,0,19.3465573922731,6.616164178704086,15541.05952308002,1693.738029748246,17234.797552828266,6578.117271878,8605.543514015153,8718.960979627445,8720.093435118906,3.9126823631393854,3.9018389768898487,4.156969313272366,4.161871146995063,3.9126989773966048,7575.763807231851,9611.5294075571,9717.213770118542,9718.019562927077,2348.953125,256.0,g6
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_concurrent_decode,0,32,32,0,4.084214946255088,7.835043067295356,1567.008613459071,2005.771025227611,3572.779638686682,1575.313228997402,1568.5735244769603,3077.475908375345,3077.5984729500487,3.7958144827166063,3.799209614083463,3.880179721369025,3.880363995903263,3.7958144827166063,2543.2459220901364,2537.448243238032,4066.941937431693,4066.9694954995066,200.0,256.0,g6
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_medium_balanced,0,16,16,0,2.2325443238951266,7.166711016104152,5733.368812883322,1834.678020122663,7568.046833005985,97.648842347553,97.22141874954104,99.9518921598792,100.15616808086634,3.971977044563448,3.979151224827065,4.1373347375067135,4.148716105276025,3.971977044563448,1110.5029887112323,1110.5932781938463,1154.0371637092903,1154.0823770919817,800.0,256.0,g6
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,R_medium_balanced,0,16,16,0,2.420283407904208,6.610796052952681,5288.636842362145,1692.3637895558863,6981.000631918031,145.98333596950397,127.24885647185148,187.21353320870548,187.39227142650637,4.146328119688905,4.220475831671672,4.280996263739379,4.289376250577762,4.146328119688905,1203.297006490175,1203.5543615929782,1209.013644605875,1209.3264281749723,800.0,256.0,g4
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,R_short_decode,0,8,8,0,4.82568346709013,1.6577962592362014,165.77962592362013,424.3958423644676,590.1754682880877,33.86865626089275,34.13028595969081,40.38009431678802,40.43334948364645,2.2278524878898125,2.2296594611058635,2.236664240157626,2.236672377564537,2.2278481755495187,601.6914600040764,600.0733750406653,610.5355935869738,610.7460293686017,100.0,256.0,g4
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,R_long_prefill,0,4,4,0,0.3428494026884436,11.666930053353209,46667.72021341284,373.3417617073027,47041.06197512014,233.9243039023131,234.67871081084013,235.1625297218561,235.21307326853275,3.1833045537613573,3.1451108009223976,3.2814498960731493,3.300199921453192,3.1833045537613573,332.6067450689152,332.4596802704036,333.45577525906265,333.54363112710416,4000.0,32.0,g4
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,shared_prefix,0,128,128,0,19.42100953217596,6.590800534232511,15481.481511137126,1687.244936763523,17168.726447900648,6608.5339859746455,8635.33599092625,8744.91680637002,8746.272334381938,3.918692820296391,3.908889391916056,4.163632898810594,4.173031654957609,3.918711437821511,7607.713557819807,9639.860776485875,9744.966211286372,9746.15670925472,2348.953125,256.0,g4
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,tool_agent,0,200,200,0,38.271504040807486,5.225820228720235,13934.910930893944,1083.3909207171355,15018.30185161108,346.4602025761269,236.65325436741117,1378.2813291298214,1751.0728443460532,5.152592846401837,3.517846542668376,11.548470949198588,37.22218544222415,3.4484488868628,983.5094076907262,518.9078149851412,2356.639927159992,3623.318779971449,2666.55,207.315,g4
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,R_concurrent_decode,0,32,32,0,4.074400627054274,7.853915932448568,1570.7831864897137,2010.6024787068332,3581.385665196547,1561.8731940194266,1553.4207317978144,3066.367694805376,3066.6322911297902,3.797731648356764,3.808311827699928,3.894845414084985,3.8950997111478856,3.797731648356763,2530.294764350401,2524.6444495860487,4059.5742543926463,4059.861549497582,200.0,256.0,g4
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,R_long_prefill,0,4,4,0,0.7333763018250465,5.454225872919242,21816.903491676967,174.53522793341574,21991.438719610385,613.5961747495458,627.3424981627613,627.8154346626252,627.8655927535146,3.613044305013553,3.157908817933452,4.712057616111011,4.931345639239636,3.613044305013553,725.6005482049659,725.4580107983202,726.3038407778367,726.3749820692465,4000.0,32.0,g0
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,R_short_decode,0,8,8,0,4.909811020828784,1.6293906152521505,162.93906152521504,417.1239975045505,580.0630590297656,44.983133499044925,35.735305631533265,92.34735886566337,114.01268049143252,2.224887828898182,2.2243849385310623,2.22773224318438,2.2286892961518734,2.224885847176507,612.0509137981571,602.409039856866,659.429887519218,681.1753932805732,100.0,256.0,g0
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,R_concurrent_decode,0,32,32,0,4.094227749854326,7.815881762107291,1563.1763524214582,2000.8657310994663,3564.0420835209247,1580.8250339032384,1575.5125056020916,3089.814148726873,3090.00630391296,3.7959362227268807,3.800876968193288,3.8869099469636295,3.887158778916095,3.795936222726881,2548.788770698593,2544.6180489379917,4080.903756339103,4081.181897097267,200.0,256.0,g0
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,R_medium_balanced,0,16,16,0,2.240520728752017,7.141197041685971,5712.957633348777,1828.1464426716088,7541.104076020385,99.13400924415328,98.23565348051488,104.52593816444278,104.7037116251886,3.980109698878711,3.98665440140986,4.148098775276951,4.159073603211665,3.980109698878711,1114.0619824582243,1114.3118550535291,1161.3202970474958,1161.7427237331867,800.0,256.0,g0
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,shared_prefix,0,128,128,0,19.389984460081905,6.601346187951473,15506.252757395452,1689.9446241155772,17196.19738151103,6597.639124418492,8629.54462855123,8738.663342641667,8740.044949152507,3.910393218066429,3.904697757360398,4.162665439550491,4.167734374931338,3.910425205553825,7594.675351047044,9630.653420696037,9737.97116484493,9739.46280177217,2348.953125,256.0,g0
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,tool_agent,0,200,200,0,38.26605938794091,5.22656377999109,13936.893647535242,1083.545070048853,15020.438717584097,348.3019092469476,236.026612110436,1418.8208907144135,1731.6307683056214,5.170923241189531,3.528252418618649,11.536637076029647,37.550325049087405,3.4599275764476274,987.471630082,525.2082110382617,2400.968332216142,3663.949033529497,2666.55,207.315,g0
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,R_concurrent_decode,0,32,32,0,4.591231290716678,6.969807873696752,1393.9615747393502,1784.2708156663684,3178.2323904057184,1858.0311924743,1854.765293886885,3587.838368862868,3587.9342867434025,3.8128154896149486,3.812674555343156,3.901225301875349,3.9218169491847648,3.8128154896149486,2830.299142326112,2824.793055187911,4578.332412731834,4578.41608769726,200.0,256.0,g2
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,tool_agent,0,200,200,0,38.26540062716231,5.226653758278752,13937.133579138206,1083.5637238975596,15020.697303035766,349.10191123140976,238.76187577843663,1422.9633939918126,1732.9863270465278,5.234958238243884,3.603084944188595,12.109321402483864,37.30044281110168,3.458419284741536,987.9929977981374,526.5988414175808,2403.762624273075,3690.324340118095,2666.55,207.315,g2
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,shared_prefix,0,128,128,0,19.36238980619237,6.610754213772919,15528.351769048815,1692.3530787258671,17220.704847774683,6589.047054636467,8614.308569813147,8727.282579266466,8728.5840507783,3.8998981921786378,3.898669147462237,4.160037632830734,4.167675785391646,3.899938027469873,7583.409378577926,9617.345922160894,9725.101468432696,9726.270588887855,2348.953125,256.0,g2
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,R_medium_balanced,0,16,16,0,2.268338090274483,7.053622239383151,5642.897791506522,1805.7272932820867,7448.625084788608,105.36888416390866,104.2726703453809,109.27934292703868,109.375518001616,4.004054358594265,4.010130021282855,4.138272267528901,4.150820647128949,4.004054358594265,1126.4027456054464,1126.394834369421,1157.3608437320215,1157.8437897143883,800.0,256.0,g2
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,R_long_prefill,0,4,4,0,0.3115842994302511,12.837617323190605,51350.46929276241,410.8037543420993,51761.273047104514,200.48409618902951,200.89224446564916,201.24624690506607,201.2725804420188,3.1891995627853658,3.1676871416669696,3.241606125037276,3.2519714983420505,3.1891995627853658,299.34928263537586,299.3626515381038,299.7173318872228,299.7548104496673,4000.0,32.0,g2
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,R_short_decode,0,8,8,0,4.963958886452019,1.6116168934908297,161.16168934908293,412.5739247336524,573.7356140827353,38.17072696983814,35.46148003078997,57.068016659468405,60.983441825956106,2.279397756124345,2.2285013550929,2.43499910952982,2.441290244644731,2.2793542429205247,618.8362203538418,605.9037090744823,669.938626489602,675.3817645413801,100.0,256.0,g2
