regime,backend,thr,ci95,ratio,n,tpot_p95
A_low_batch_decode,auto,1.684409421451602,0.004580283938956374,1.0,5,2.2328391768568423
A_low_batch_decode,triton,1.6830483105995417,0.004353719333307412,0.9991919358591053,5,2.232681103263301
A_low_batch_decode,triton_kernel,1.0945241750378452,0.003070889544041643,0.6497969918112892,5,3.403171727068576
A_low_batch_decode,flashinfer_cutlass,1.6260170692185931,0.00305731813062535,0.9653336347509341,5,2.275543329378273
B_concurrent_decode,auto,21.699775355389143,0.19949537711085427,1.0,5,5.172150375193679
B_concurrent_decode,triton,21.824629547206328,0.11661865575832815,1.005753708956539,5,5.165521233324327
B_concurrent_decode,triton_kernel,20.95488778093919,4.030497874678852,0.9656730283032648,5,4.894503960851724
B_concurrent_decode,flashinfer_cutlass,22.059674311000755,0.27245129296413656,1.016585377024294,5,4.8269317371442035
C_long_prefill,auto,12.283032488439098,0.08965856472035649,1.0,5,3.2930854421048874
C_long_prefill,triton,12.327929682628355,0.05562676867320583,1.0036552206657041,5,3.3023627147439023
C_long_prefill,triton_kernel,12.233104681328976,0.10053797518992894,0.9959352214400545,5,5.091936772148456
C_long_prefill,flashinfer_cutlass,8.15235024848713,0.031016003054242364,0.6637082704259063,5,3.362500691606152
