model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,16,64,bm32_bn256_bk64_gm32_w8_s3,32,256,64,32,8,3,0.25011199712753296,0.26096001267433167,0.004615882970437227,0.3139519989490509,1.2552456601630577,0.0
lfm25,16,64,bm32_bn64_bk64_gm1_w8_s5,32,64,64,1,8,5,0.2502399981021881,0.27059200406074524,0.008072165105569368,0.3139519989490509,1.2546035858777673,0.0
lfm25,16,64,bm128_bn256_bk128_gm1_w8_s2,128,256,128,1,8,2,0.25200000405311584,0.2727999985218048,0.0082811365686522,0.3139519989490509,1.2458412456329842,0.0
lfm25,16,64,bm32_bn64_bk64_gm32_w4_s5,32,64,64,32,4,5,0.2520639896392822,0.27398398518562317,0.008899753017883627,0.3139519989490509,1.2455249930715366,0.0
lfm25,16,64,bm16_bn128_bk128_gm16_w8_s2,16,128,128,16,8,2,0.2521600127220154,0.27353599667549133,0.009422645141253707,0.3139519989490509,1.2450506944380426,0.0
lfm25,16,64,bm64_bn256_bk64_gm1_w8_s5,64,256,64,1,8,5,0.2521919906139374,0.27244800329208374,0.008630920063419787,0.3139519989490509,1.244892822269116,0.0
lfm25,16,64,bm32_bn32_bk128_gm1_w4_s3,32,32,128,1,4,3,0.25225600600242615,0.27212798595428467,0.008297601041006183,0.3139519989490509,1.2445769039331867,0.0
lfm25,16,64,bm16_bn256_bk128_gm1_w8_s2,16,256,128,1,8,2,0.25228801369667053,0.2736639976501465,0.008936069247004077,0.3139519989490509,1.2444190048858994,0.0
lfm25,16,64,bm32_bn256_bk64_gm1_w4_s5,32,256,64,1,4,5,0.25231999158859253,0.2754879891872406,0.009277555152810727,0.3139519989490509,1.2442612928623955,0.0
lfm25,16,64,bm16_bn32_bk64_gm16_w8_s2,16,32,64,16,8,2,0.25248000025749207,0.2780799865722656,0.010580228241894541,0.3139519989490509,1.243472744886195,0.0
lfm25,16,64,bm16_bn32_bk128_gm32_w8_s4,16,32,128,32,8,4,0.25251200795173645,0.28729599714279175,0.01380593254696755,0.3139519989490509,1.2433151258654507,0.0
lfm25,16,64,bm64_bn256_bk64_gm32_w4_s5,64,256,64,32,4,5,0.25254398584365845,0.2694399952888489,0.007131708633922917,0.3139519989490509,1.243157693501393,0.0
lfm25,16,64,bm64_bn32_bk64_gm32_w4_s4,64,32,64,32,4,4,0.2531200051307678,0.260672003030777,0.0030979596912778912,0.3139519989490509,1.2403286685572554,0.0
lfm25,16,64,bm16_bn64_bk64_gm1_w8_s2,16,64,64,1,8,2,0.2531520128250122,0.2869440019130707,0.013724000068994385,0.3139519989490509,1.2401718455466748,0.0
lfm25,16,64,bm32_bn256_bk128_gm16_w8_s2,32,256,128,16,8,2,0.25334399938583374,0.2746239900588989,0.008446456356151207,0.3139519989490509,1.2392320311913658,0.0
lfm25,16,64,bm64_bn128_bk64_gm32_w8_s3,64,128,64,32,8,3,0.2534080147743225,0.29791998863220215,0.017894682505064697,0.3139519989490509,1.238918979056945,0.0
lfm25,16,64,bm16_bn64_bk64_gm1_w4_s2,16,64,64,1,4,2,0.2534720003604889,0.271263986825943,0.008638538023834939,0.3139519989490509,1.238606230678525,0.0
lfm25,16,64,bm16_bn128_bk128_gm1_w8_s3,16,128,128,1,8,3,0.2534720003604889,0.2736319899559021,0.008284043766071097,0.3139519989490509,1.238606230678525,0.0
