model,tokens,M,bottleneck,iteration,action,rationale,n_candidates,n_passed,n_failed,best_key,best_ms,incumbent_ms,speedup,decision,reason,wall_s
lfm25,1,4,low_occupancy_launch_bound,0,small_tile_deep_pipeline,keep the M tile minimal to avoid wasted rows and raise num_stages so weight loads overlap the tiny amount of math,24,24,0,bm16_bn64_bk64_gm1_w4_s4,0.23641599714756012,0.23641599714756012,1.08094205523406,accept,1.081x faster than the incumbent (default) and correctness passed,14.3
lfm25,1,4,low_occupancy_launch_bound,1,small_tile_wide_k,widen the K tile so each launch streams more contiguous weight per unit of index overhead,24,24,0,bm16_bn64_bk128_gm1_w4_s2,0.23708799481391907,0.23641599714756012,0.9971656191749128,reject,best candidate only 0.997x vs incumbent; below the 1.01x acceptance threshold,14.1
lfm25,2048,8192,compute_bound,0,large_tile_more_warps,"at high arithmetic intensity, larger tiles and more warps raise Tensor-Core utilisation",24,24,0,bm64_bn256_bk64_gm16_w8_s2,0.6226239800453186,0.6226239800453186,1.2655599610066997,accept,1.266x faster than the incumbent (default) and correctness passed,20.7
lfm25,2048,8192,compute_bound,1,large_tile_deep_pipeline,deep pipelining hides global-memory latency behind math,24,24,0,bm64_bn256_bk64_gm16_w8_s4,0.5900160074234009,0.5900160074234009,1.0552662507654949,accept,1.055x faster than the incumbent (bm64_bn256_bk64_gm16_w8_s2) and correctness passed,19.9
