M,d35,b35,d36,b36,dflt_speedup,tune35,tune36
24,0.2863039970397949,0.2656959891319275,0.2587200105190277,0.2438720017671585,1.1066171358969488,1.077562359805269,1.0608844338188752
48,0.270143985748291,0.19686399400234222,0.20559999346733093,0.19363200664520264,1.3139299335202357,1.3722366404141781,1.0618078954480783
96,0.279231995344162,0.2006720006465912,0.19811199605464935,0.19728000462055206,1.4094653574997833,1.3914845840198948,1.0042173125233727
1536,0.6232960224151611,0.3991680145263672,0.3882240056991577,0.40614399313926697,1.6055061337401306,1.5614878941508703,0.955877748427109
3072,1.1170239448547363,0.6871359944343567,0.6576319932937622,0.6594560146331787,1.6985547483176737,1.6256228081520587,0.9972340515531865
