model,profile,tokens,M,median_ms,p95_ms,default_ms,speedup_vs_default,regression_pct,correctness_ok
lfm25,low_M,16,64,0.24889600276947021,0.2927680015563965,0.2449599951505661,0.9841861356747071,1.6067960878611398,True
lfm25,oracle_t2048,16,64,0.25727999210357666,0.2722879946231842,0.2449599951505661,0.9521144382340826,5.029391409580164,True
lfm25,oracle_t64,16,64,0.26364800333976746,0.26950401067733765,0.2449599951505661,0.9291175811973899,7.629004147275009,True
lfm25,oracle_t512,16,64,0.2662400007247925,0.2691519856452942,0.2449599951505661,0.9200720946653574,8.687135040620198,True
lfm25,oracle_t32,16,64,0.26787200570106506,0.2791360020637512,0.2449599951505661,0.9144665733526933,9.353368306696751,True
lfm25,oracle_t16,16,64,0.2711679935455322,0.27747198939323425,0.2449599951505661,0.9033514315155874,10.698889171212311,True
lfm25,oracle_t8192,16,64,0.27561599016189575,0.3116160035133362,0.2449599951505661,0.8887727994543334,12.514694488170107,True
lfm25,oracle_t1,16,64,0.27907198667526245,0.306335985660553,0.2449599951505661,0.8777663357361977,13.925535679297019,True
lfm25,oracle_t8,16,64,0.28249600529670715,0.2901439964771271,0.2449599951505661,0.8671272887320415,15.3233225380615,True
lfm25,global_best,16,64,0.29094401001930237,0.29660800099372864,0.2449599951505661,0.8419489204617565,18.772050856904986,True
lfm25,oracle_t2048,16,64,0.3036159873008728,0.31542399525642395,0.2449599951505661,0.806808618110809,23.945131168970455,True
lfm25,oracle_t4,16,64,0.30608001351356506,0.3227519989013672,0.2449599951505661,0.8003135923140234,24.951020400466284,True
lfm25,mid_M,16,64,0.308896005153656,0.3108159899711609,0.2449599951505661,0.7930176857700513,26.100592451347527,True
lfm25,oracle_t2,16,64,0.32016000151634216,0.3215999901294708,0.2449599951505661,0.7651174225087028,30.698892821072256,True
lfm25,oracle_t4,1,4,0.2425920069217682,0.2596159875392914,0.2425280064344406,0.9997361805603586,0.026388905870500245,True
lfm25,oracle_t2,1,4,0.2444159984588623,0.24745599925518036,0.2425280064344406,0.9922754973638133,0.7784635070309021,True
lfm25,oracle_t1,1,4,0.24489599466323853,0.24982400238513947,0.2425280064344406,0.9903306371667933,0.9763772290100503,True
lfm25,global_best,1,4,0.24582399427890778,0.25830399990081787,0.2425280064344406,0.9865920824607235,1.359013292082678,True
lfm25,low_M,1,4,0.24889600276947021,0.31353598833084106,0.2425280064344406,0.9744150317233994,2.6256746297673272,True
lfm25,oracle_t16,1,4,0.24889600276947021,0.25465598702430725,0.2425280064344406,0.9744150317233994,2.6256746297673272,True
lfm25,oracle_t64,1,4,0.24956800043582916,0.25062400102615356,0.2425280064344406,0.9717912793743815,2.9027550693579762,True
lfm25,oracle_t8192,1,4,0.24985599517822266,0.2621760070323944,0.2425280064344406,0.9706711510422035,3.0215020737256237,True
lfm25,oracle_t512,1,4,0.25017601251602173,0.26742398738861084,0.2425280064344406,0.9694294988369785,3.1534527471772655,True
lfm25,oracle_t2048,1,4,0.2502079904079437,0.2519359886646271,0.2425280064344406,0.9693056006685417,3.1666379839637715,True
lfm25,oracle_t32,1,4,0.2502079904079437,0.2524160146713257,0.2425280064344406,0.9693056006685417,3.1666379839637715,True
lfm25,oracle_t8,1,4,0.25043201446533203,0.2518720030784607,0.2425280064344406,0.9684385079608678,3.2590083706592443,True
lfm25,oracle_t2048,1,4,0.2518399953842163,0.3248000144958496,0.2425280064344406,0.9630241855128333,3.8395520116118576,True
lfm25,mid_M,1,4,0.3229759931564331,0.32947200536727905,0.2425280064344406,0.7509165125996606,33.17059662704931,True
lfm25,oracle_t2048,2048,8192,0.49929600954055786,0.5171840190887451,0.7877119779586792,1.5776452503265865,-36.61439415527723,True
lfm25,oracle_t2048,2048,8192,0.5014079809188843,0.5103039741516113,0.7877119779586792,1.571000079645944,-36.346279484252484,True
lfm25,oracle_t8192,2048,8192,0.5075200200080872,0.5133439898490906,0.7877119779586792,1.552080601561545,-35.57035639812119,True
lfm25,oracle_t512,2048,8192,0.6239359974861145,0.6358399987220764,0.7877119779586792,1.2624884301153172,-20.791353318884763,True
lfm25,oracle_t16,2048,8192,0.8919360041618347,0.8975039720535278,0.7877119779586792,0.883148537880701,13.231235415925436,True
lfm25,global_best,2048,8192,1.1696959733963013,1.1985280513763428,0.7877119779586792,0.673433093619616,48.492850956451974,True
lfm25,low_M,2048,8192,1.2712639570236206,1.344607949256897,0.7877119779586792,0.6196289713136602,61.38690188741893,True
lfm25,oracle_t32,2048,8192,1.274656057357788,1.2751679420471191,0.7877119779586792,0.6179800216785644,61.81752887153029,True
lfm25,mid_M,2048,8192,1.4118080139160156,1.4561920166015625,0.7877119779586792,0.5579455352245493,79.22896355780367,True
lfm25,oracle_t64,2048,8192,1.472864031791687,1.4746240377426147,0.7877119779586792,0.5348164942289041,86.98002226759954,True
lfm25,oracle_t1,2048,8192,1.5574079751968384,1.5695359706878662,0.7877119779586792,0.5057839631642579,97.71287206178994,True
lfm25,oracle_t8,2048,8192,1.8150080442428589,1.8158080577850342,0.7877119779586792,0.43399916626114887,130.41518918455094,True
lfm25,oracle_t4,2048,8192,1.835968017578125,1.8534719944000244,0.7877119779586792,0.429044498823989,133.07605685214475,True
lfm25,oracle_t2,2048,8192,1.881824016571045,1.8946559429168701,0.7877119779586792,0.41858960828547837,138.89747385176352,True
lfm25,oracle_t8,2,8,0.24028800427913666,0.2473600059747696,0.24457600712776184,1.0178452639010807,-1.753239370853421,True
lfm25,oracle_t4,2,8,0.2409600019454956,0.24777600169181824,0.24457600712776184,1.0150066614918278,-1.4784791136022157,True
lfm25,oracle_t16,2,8,0.2460159957408905,0.2565760016441345,0.24457600712776184,0.9941467683481635,0.5887693686880802,True
lfm25,oracle_t1,2,8,0.24620799720287323,0.24879999458789825,0.24457600712776184,0.9933714985148648,0.6672731697099143,True
lfm25,oracle_t2,2,8,0.2465279996395111,0.26076799631118774,0.24457600712776184,0.9920820656696051,0.7981128380796454,True
lfm25,global_best,2,8,0.24848000705242157,0.24934400618076324,0.24457600712776184,0.9842884746705753,1.5962317688097416,True
lfm25,oracle_t32,2,8,0.24928000569343567,0.2576639950275421,0.24457600712776184,0.9811296595866625,1.9233278934088327,True
lfm25,oracle_t64,2,8,0.24959999322891235,0.2651520073413849,0.24457600712776184,0.9798718500102565,2.054161469128113,True
lfm25,oracle_t2048,2,8,0.25014400482177734,0.2518720030784607,0.24457600712776184,0.9777408309346347,2.276591951681861,True
lfm25,oracle_t512,2,8,0.2521600127220154,0.323743999004364,0.24457600712776184,0.9699238372000947,3.100878816085917,True
