regime,stage,thr,ci,n,vs_cookbook
A_low_batch_decode,tuned serving,1.6839880535459355,0.0008680917241245667,6,0.9952738312239533
A_low_batch_decode,tuned serving + kernel,1.6884705071000035,0.0013305029898341401,6,0.9979230594727206
A_low_batch_decode,cookbook serving,1.6919846586090035,0.0012962168041764158,6,1.0
A_low_batch_decode,cookbook + kernel,1.689246679891407,0.0027735806393163285,6,0.9983817945962657
B_concurrent_decode,tuned serving,21.802191925374018,0.15779094237311436,6,1.0011227738130368
B_concurrent_decode,tuned serving + kernel,22.05288482809718,0.1175657644808788,6,1.0126342023431822
B_concurrent_decode,cookbook serving,21.777740448691112,0.09064535693630037,6,1.0
B_concurrent_decode,cookbook + kernel,22.086418751039982,0.10689705286495356,6,1.0141740279748546
C_long_prefill,tuned serving,21.918222041519158,1.000313142385297,6,1.7790360519663777
C_long_prefill,tuned serving + kernel,20.895232366639103,0.938250981915616,6,1.696003061929434
C_long_prefill,cookbook serving,12.320279860148329,0.029752812585257544,6,1.0
C_long_prefill,cookbook + kernel,15.062090971821661,0.07849670232459532,6,1.2225445479158394
