,R_short_decode,R_medium_balanced,R_long_prefill,R_concurrent_decode,shared_prefix,tool_agent
cookbook,1.0,1.0,1.0,1.0,1.0,1.0
R_short_decode_winner,1.0043224481466522,1.0006564111274192,1.1524977499054965,1.002841832908098,1.7613077900194702,1.000950602688075
R_medium_balanced_winner,0.9965024027062948,1.0262468518196735,1.357163955550038,0.5892527642445871,0.8897555665912772,0.9992876259731105
R_long_prefill_winner,0.9923132274371694,0.9596075524410947,1.7746906375856462,0.6102649043742747,1.0707403860686984,0.9963988254544374
R_concurrent_decode_winner,0.9946866496626238,0.9580083336443124,0.9888265451237415,1.0159273209129625,1.0801209324867374,0.9982695890050548
shared_prefix_winner,0.9921141652568837,0.9972094526061552,1.4275595192889632,0.9741952964532887,1.9409244275123785,1.0039664862762097
tool_agent_winner,1.0009965722882301,0.9401688629280063,1.4306065609620098,1.0113071732313867,1.5299360450900708,1.0044671100843272
